covariate 1:   name=covariate1, type=float, missing= 10 of 100, average=-0.110738, stdev=0.972684, range=[-2.199717,2.197716], active=1
covariate 2:   name=covariate2, type=float, missing= 20 of 100, average=0.144067, stdev=0.851681, range=[-1.672184,2.720823], active=1
covariate 3:   name=covariate3, type=float, missing=  8 of 100, average=-0.054932, stdev=1.074421, range=[-2.932966,3.406959], active=1
covariate 4:   name=covariate4, type=float, missing= 10 of 100, average=0.175764, stdev=0.857476, range=[-1.919087,2.201255], active=1
covariate 5:   name=covariate5, type=float, missing= 11 of 100, average=-0.009646, stdev=1.049032, range=[-2.194376,3.056580], active=1
covariate 6:   name=covariate6, type=float, missing=  9 of 100, average=-0.001108, stdev=0.955032, range=[-2.359920,2.446926], active=1
covariate 7:   name=covariate7, type=float, missing= 11 of 100, average=0.042869, stdev=0.882558, range=[-1.924173,2.588986], active=1
covariate 8:   name=covariate8, type=float, missing= 11 of 100, average=-0.075390, stdev=0.892303, range=[-2.995703,2.436332], active=1
covariate 9:   name=covariate9, type=float, missing= 11 of 100, average=-0.014331, stdev=0.996743, range=[-2.915704,1.947301], active=1
covariate 10:  name=covariate10, type=float, missing=  9 of 100, average=0.106706, stdev=0.988446, range=[-2.197356,2.473507], active=1
covariate 11:  name=covariate11, type=float, missing=  6 of 100, average=-0.012891, stdev=0.993386, range=[-2.226795,2.607053], active=1
covariate 12:  name=covariate12, type=float, missing= 11 of 100, average=-0.054528, stdev=0.960721, range=[-2.244920,2.864986], active=1
covariate 13:  name=covariate13, type=float, missing= 12 of 100, average=-0.093756, stdev=0.905397, range=[-2.318465,2.219280], active=1
covariate 14:  name=covariate14, type=float, missing=  8 of 100, average=-0.075776, stdev=1.028060, range=[-3.837335,2.591425], active=1
covariate 15:  name=covariate15, type=float, missing= 11 of 100, average=-0.029488, stdev=0.945567, range=[-2.177069,1.941094], active=1
covariate 16:  name=covariate16, type=float, missing=  5 of 100, average=-0.053891, stdev=0.964871, range=[-1.914152,2.685479], active=1
covariate 17:  name=covariate17, type=float, missing=  7 of 100, average=-0.247517, stdev=0.972981, range=[-2.791157,2.175448], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of 100, average=-0.119895, stdev=1.004492, range=[-2.229632,2.401910], active=1
covariate 19:  name=covariate19, type=float, missing=  9 of 100, average=0.168815, stdev=1.055278, range=[-2.344761,2.532047], active=1
