    vars  set          vimp positive
1     A5 VIMP  9.153251e-03     TRUE
2    A10 VIMP  8.241879e-03     TRUE
3     A6 VIMP  6.291815e-03     TRUE
4    A75 VIMP  5.304003e-03     TRUE
5    A59 VIMP  5.052516e-03     TRUE
6     A3 VIMP  4.860188e-03     TRUE
7    A19 VIMP  2.540080e-03     TRUE
8    A85 VIMP  1.843617e-03     TRUE
9     A9 VIMP  1.707488e-03     TRUE
10   A94 VIMP  1.675375e-03     TRUE
11   A45 VIMP  1.643499e-03     TRUE
12    A2 VIMP  1.074182e-03     TRUE
13   A77 VIMP  8.749855e-04     TRUE
14   A30 VIMP  7.360017e-04     TRUE
15   A69 VIMP  6.365873e-04     TRUE
16   A39 VIMP  5.984120e-04     TRUE
17   A35 VIMP  5.957707e-04     TRUE
18   A56 VIMP  4.233232e-04     TRUE
19   A64 VIMP  3.611595e-04     TRUE
20   A82 VIMP  3.278157e-04     TRUE
21   A70 VIMP  2.892813e-04     TRUE
22   A74 VIMP  2.858699e-04     TRUE
23   A86 VIMP  2.755131e-04     TRUE
24   A14 VIMP  2.402041e-04     TRUE
25   A42 VIMP  2.122419e-04     TRUE
26   A41 VIMP  1.055253e-04     TRUE
27   A80 VIMP  9.639430e-05     TRUE
28    A7 VIMP  9.094669e-05     TRUE
29   A63 VIMP  7.803299e-05     TRUE
30   A12 VIMP  7.700760e-05     TRUE
31   A96 VIMP  4.980819e-05     TRUE
32   A76 VIMP  4.174669e-05     TRUE
33   A15 VIMP  1.860709e-05     TRUE
34   A89 VIMP  1.117960e-05     TRUE
35   A46 VIMP  4.247232e-06     TRUE
36   A61 VIMP -1.352954e-05    FALSE
37   A31 VIMP -2.108555e-05    FALSE
38   A99 VIMP -3.734531e-05    FALSE
39   A51 VIMP -7.348665e-05    FALSE
40   A66 VIMP -1.191052e-04    FALSE
41   A65 VIMP -1.354635e-04    FALSE
42   A52 VIMP -1.772014e-04    FALSE
43   A26 VIMP -2.063221e-04    FALSE
44   A92 VIMP -2.094161e-04    FALSE
45    A1 VIMP -2.113421e-04    FALSE
46   A79 VIMP -2.530719e-04    FALSE
47   A11 VIMP -2.676301e-04    FALSE
48   A18 VIMP -2.711495e-04    FALSE
49   A84 VIMP -2.846449e-04    FALSE
50   A93 VIMP -2.945556e-04    FALSE
51   A91 VIMP -3.218414e-04    FALSE
52   A78 VIMP -3.306941e-04    FALSE
53   A34 VIMP -3.322807e-04    FALSE
54   A53 VIMP -3.348678e-04    FALSE
55   A62 VIMP -3.461763e-04    FALSE
56   A50 VIMP -3.465711e-04    FALSE
57   A98 VIMP -3.609087e-04    FALSE
58   A28 VIMP -3.835113e-04    FALSE
59   A25 VIMP -4.075507e-04    FALSE
60   A36 VIMP -4.186520e-04    FALSE
61   A90 VIMP -4.343264e-04    FALSE
62   A24 VIMP -4.355237e-04    FALSE
63   A72 VIMP -4.748279e-04    FALSE
64   A23 VIMP -4.755951e-04    FALSE
65   A43 VIMP -4.954684e-04    FALSE
66   A40 VIMP -4.958749e-04    FALSE
67   A97 VIMP -5.119476e-04    FALSE
68   A16 VIMP -5.276023e-04    FALSE
69   A67 VIMP -5.375287e-04    FALSE
70   A38 VIMP -5.462685e-04    FALSE
71   A60 VIMP -5.589653e-04    FALSE
72   A87 VIMP -5.667137e-04    FALSE
73   A88 VIMP -6.158196e-04    FALSE
74   A47 VIMP -6.577297e-04    FALSE
75   A20 VIMP -6.666227e-04    FALSE
76   A54 VIMP -6.968482e-04    FALSE
77   A22 VIMP -6.978451e-04    FALSE
78   A49 VIMP -6.993875e-04    FALSE
79   A44 VIMP -7.035440e-04    FALSE
80   A37 VIMP -7.091885e-04    FALSE
81  A100 VIMP -7.159603e-04    FALSE
82   A29 VIMP -7.294092e-04    FALSE
83   A55 VIMP -7.383272e-04    FALSE
84   A68 VIMP -7.532098e-04    FALSE
85   A17 VIMP -7.840321e-04    FALSE
86   A27 VIMP -8.097384e-04    FALSE
87   A33 VIMP -8.105987e-04    FALSE
88    A8 VIMP -8.335670e-04    FALSE
89   A95 VIMP -8.561996e-04    FALSE
90   A21 VIMP -8.956968e-04    FALSE
91    A4 VIMP -9.382558e-04    FALSE
92   A71 VIMP -1.044876e-03    FALSE
93   A57 VIMP -1.058907e-03    FALSE
94   A48 VIMP -1.081676e-03    FALSE
95   A73 VIMP -1.186967e-03    FALSE
96   A83 VIMP -1.302786e-03    FALSE
97   A13 VIMP -1.354756e-03    FALSE
98   A32 VIMP -1.380436e-03    FALSE
99   A58 VIMP -1.408482e-03    FALSE
100  A81 VIMP -1.942746e-03    FALSE
