    vars  set          vimp positive
1    A10 VIMP  1.121045e-02     TRUE
2     A5 VIMP  9.579840e-03     TRUE
3     A6 VIMP  6.722587e-03     TRUE
4    A59 VIMP  5.359839e-03     TRUE
5    A75 VIMP  4.536205e-03     TRUE
6     A3 VIMP  4.463198e-03     TRUE
7    A85 VIMP  3.659797e-03     TRUE
8    A19 VIMP  2.192620e-03     TRUE
9     A9 VIMP  1.559791e-03     TRUE
10    A7 VIMP  1.501704e-03     TRUE
11    A2 VIMP  1.286422e-03     TRUE
12   A94 VIMP  1.209259e-03     TRUE
13   A71 VIMP  1.019450e-03     TRUE
14    A4 VIMP  8.426501e-04     TRUE
15   A41 VIMP  7.645399e-04     TRUE
16   A74 VIMP  6.929924e-04     TRUE
17   A47 VIMP  6.518384e-04     TRUE
18   A45 VIMP  6.255251e-04     TRUE
19   A30 VIMP  5.470939e-04     TRUE
20   A39 VIMP  5.346647e-04     TRUE
21   A84 VIMP  5.167536e-04     TRUE
22   A66 VIMP  5.001069e-04     TRUE
23   A69 VIMP  3.135168e-04     TRUE
24   A13 VIMP  2.572093e-04     TRUE
25   A17 VIMP  2.521591e-04     TRUE
26   A64 VIMP  2.307948e-04     TRUE
27   A34 VIMP  1.619885e-04     TRUE
28   A90 VIMP  1.475111e-04     TRUE
29   A86 VIMP  1.252393e-04     TRUE
30   A78 VIMP  9.300232e-05     TRUE
31   A98 VIMP  8.509264e-05     TRUE
32   A49 VIMP  3.060029e-05     TRUE
33   A81 VIMP -1.319223e-05    FALSE
34   A46 VIMP -4.180629e-05    FALSE
35   A63 VIMP -7.292747e-05    FALSE
36   A57 VIMP -7.543115e-05    FALSE
37   A68 VIMP -9.536035e-05    FALSE
38   A76 VIMP -9.936685e-05    FALSE
39   A53 VIMP -1.128744e-04    FALSE
40   A23 VIMP -1.686375e-04    FALSE
41   A73 VIMP -1.692205e-04    FALSE
42   A27 VIMP -1.787113e-04    FALSE
43   A93 VIMP -2.040842e-04    FALSE
44   A82 VIMP -2.109364e-04    FALSE
45   A11 VIMP -2.282444e-04    FALSE
46   A37 VIMP -2.512867e-04    FALSE
47   A77 VIMP -2.837112e-04    FALSE
48   A25 VIMP -2.848739e-04    FALSE
49   A40 VIMP -2.855434e-04    FALSE
50   A79 VIMP -2.930645e-04    FALSE
51   A67 VIMP -2.963286e-04    FALSE
52   A95 VIMP -3.233824e-04    FALSE
53   A35 VIMP -3.263546e-04    FALSE
54   A20 VIMP -3.366320e-04    FALSE
55   A24 VIMP -3.632874e-04    FALSE
56   A36 VIMP -3.688162e-04    FALSE
57   A48 VIMP -3.924048e-04    FALSE
58   A70 VIMP -4.133441e-04    FALSE
59   A92 VIMP -4.172271e-04    FALSE
60   A32 VIMP -4.183883e-04    FALSE
61   A51 VIMP -4.379956e-04    FALSE
62   A29 VIMP -4.629268e-04    FALSE
63   A15 VIMP -4.854076e-04    FALSE
64   A22 VIMP -4.914948e-04    FALSE
65   A62 VIMP -5.337421e-04    FALSE
66   A89 VIMP -5.375456e-04    FALSE
67   A54 VIMP -5.624221e-04    FALSE
68   A16 VIMP -5.661989e-04    FALSE
69   A61 VIMP -5.669593e-04    FALSE
70   A60 VIMP -5.746364e-04    FALSE
71   A72 VIMP -6.026449e-04    FALSE
72   A97 VIMP -6.066173e-04    FALSE
73   A26 VIMP -6.321237e-04    FALSE
74  A100 VIMP -6.620174e-04    FALSE
75   A58 VIMP -6.775913e-04    FALSE
76   A55 VIMP -6.829312e-04    FALSE
77   A87 VIMP -7.109761e-04    FALSE
78   A43 VIMP -7.316555e-04    FALSE
79   A50 VIMP -7.447760e-04    FALSE
80   A14 VIMP -7.521369e-04    FALSE
81   A31 VIMP -7.821366e-04    FALSE
82   A52 VIMP -7.892028e-04    FALSE
83   A21 VIMP -7.893752e-04    FALSE
84   A12 VIMP -8.259434e-04    FALSE
85   A88 VIMP -8.278261e-04    FALSE
86   A38 VIMP -8.487895e-04    FALSE
87    A8 VIMP -8.712883e-04    FALSE
88    A1 VIMP -8.742295e-04    FALSE
89   A28 VIMP -8.889280e-04    FALSE
90   A83 VIMP -8.961050e-04    FALSE
91   A80 VIMP -9.276063e-04    FALSE
92   A18 VIMP -9.323677e-04    FALSE
93   A56 VIMP -9.576343e-04    FALSE
94   A65 VIMP -9.601767e-04    FALSE
95   A42 VIMP -1.026733e-03    FALSE
96   A91 VIMP -1.159595e-03    FALSE
97   A96 VIMP -1.252441e-03    FALSE
98   A44 VIMP -1.258793e-03    FALSE
99   A33 VIMP -1.306131e-03    FALSE
100  A99 VIMP -1.472138e-03    FALSE
