    vars  set          vimp positive
1    A10 VIMP  9.199921e-03     TRUE
2     A5 VIMP  7.786580e-03     TRUE
3     A6 VIMP  6.949470e-03     TRUE
4    A75 VIMP  4.682741e-03     TRUE
5    A59 VIMP  4.383842e-03     TRUE
6     A3 VIMP  4.380998e-03     TRUE
7    A85 VIMP  2.335616e-03     TRUE
8     A7 VIMP  2.252472e-03     TRUE
9     A9 VIMP  1.564769e-03     TRUE
10   A66 VIMP  1.294744e-03     TRUE
11   A19 VIMP  1.291685e-03     TRUE
12   A94 VIMP  1.096306e-03     TRUE
13   A88 VIMP  1.003586e-03     TRUE
14   A98 VIMP  9.306334e-04     TRUE
15   A57 VIMP  9.292741e-04     TRUE
16   A26 VIMP  8.390398e-04     TRUE
17   A45 VIMP  8.040549e-04     TRUE
18   A67 VIMP  7.946589e-04     TRUE
19   A72 VIMP  6.873539e-04     TRUE
20   A60 VIMP  6.781690e-04     TRUE
21   A71 VIMP  6.754927e-04     TRUE
22   A30 VIMP  6.534824e-04     TRUE
23   A74 VIMP  6.273620e-04     TRUE
24   A81 VIMP  4.730581e-04     TRUE
25   A53 VIMP  4.623787e-04     TRUE
26   A99 VIMP  3.593785e-04     TRUE
27   A90 VIMP  2.529400e-04     TRUE
28   A64 VIMP  1.577369e-04     TRUE
29   A16 VIMP  1.386123e-04     TRUE
30    A8 VIMP  1.165284e-04     TRUE
31   A33 VIMP  9.609663e-05     TRUE
32   A55 VIMP  7.137009e-05     TRUE
33   A63 VIMP  5.006119e-05     TRUE
34   A31 VIMP  1.404650e-05     TRUE
35   A37 VIMP -3.026483e-05    FALSE
36   A29 VIMP -3.150075e-05    FALSE
37   A68 VIMP -6.426043e-05    FALSE
38   A41 VIMP -6.961784e-05    FALSE
39   A97 VIMP -1.023489e-04    FALSE
40   A46 VIMP -1.089030e-04    FALSE
41   A47 VIMP -1.255356e-04    FALSE
42   A11 VIMP -1.400203e-04    FALSE
43   A73 VIMP -1.755031e-04    FALSE
44   A86 VIMP -1.939411e-04    FALSE
45   A38 VIMP -2.348482e-04    FALSE
46   A96 VIMP -2.431272e-04    FALSE
47   A39 VIMP -2.440386e-04    FALSE
48   A22 VIMP -2.538903e-04    FALSE
49   A34 VIMP -2.587136e-04    FALSE
50   A40 VIMP -2.649170e-04    FALSE
51   A84 VIMP -2.730712e-04    FALSE
52   A76 VIMP -2.861688e-04    FALSE
53    A4 VIMP -3.365270e-04    FALSE
54   A69 VIMP -3.468851e-04    FALSE
55   A56 VIMP -3.637145e-04    FALSE
56   A24 VIMP -3.694159e-04    FALSE
57   A70 VIMP -3.702421e-04    FALSE
58   A89 VIMP -3.776849e-04    FALSE
59   A79 VIMP -3.918373e-04    FALSE
60   A48 VIMP -3.933209e-04    FALSE
61   A28 VIMP -4.049549e-04    FALSE
62   A78 VIMP -4.123389e-04    FALSE
63   A36 VIMP -4.129390e-04    FALSE
64   A80 VIMP -4.349189e-04    FALSE
65   A77 VIMP -4.463830e-04    FALSE
66   A95 VIMP -4.921603e-04    FALSE
67   A93 VIMP -5.099176e-04    FALSE
68   A54 VIMP -5.470539e-04    FALSE
69    A2 VIMP -5.626131e-04    FALSE
70   A20 VIMP -5.963356e-04    FALSE
71   A32 VIMP -6.217299e-04    FALSE
72   A35 VIMP -6.225154e-04    FALSE
73   A51 VIMP -6.523674e-04    FALSE
74   A61 VIMP -6.621708e-04    FALSE
75   A17 VIMP -6.862386e-04    FALSE
76   A18 VIMP -7.002086e-04    FALSE
77   A52 VIMP -7.420760e-04    FALSE
78   A27 VIMP -7.656946e-04    FALSE
79   A44 VIMP -7.741455e-04    FALSE
80   A21 VIMP -8.067288e-04    FALSE
81   A14 VIMP -8.149848e-04    FALSE
82   A42 VIMP -8.368899e-04    FALSE
83   A13 VIMP -8.937125e-04    FALSE
84   A43 VIMP -9.127255e-04    FALSE
85   A82 VIMP -9.723449e-04    FALSE
86   A62 VIMP -1.023781e-03    FALSE
87   A49 VIMP -1.028021e-03    FALSE
88   A23 VIMP -1.061951e-03    FALSE
89   A83 VIMP -1.124043e-03    FALSE
90   A25 VIMP -1.128533e-03    FALSE
91  A100 VIMP -1.146803e-03    FALSE
92    A1 VIMP -1.187783e-03    FALSE
93   A91 VIMP -1.203009e-03    FALSE
94   A50 VIMP -1.229966e-03    FALSE
95   A92 VIMP -1.231889e-03    FALSE
96   A12 VIMP -1.346637e-03    FALSE
97   A87 VIMP -1.388137e-03    FALSE
98   A65 VIMP -1.398010e-03    FALSE
99   A58 VIMP -1.768739e-03    FALSE
100  A15 VIMP -1.829391e-03    FALSE
