covariate 1:   name=covariate1, type=float, missing=  0 of  10, average=0.550878, stdev=1.111626, range=[-1.066643,2.568210], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of  10, average=0.068102, stdev=0.798007, range=[-1.417540,1.438574], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of  10, average=0.122448, stdev=0.635655, range=[-0.459163,1.372835], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  10, average=0.180755, stdev=1.163707, range=[-1.713720,1.973770], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  10, average=-0.064332, stdev=0.715773, range=[-1.255206,1.325136], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  10, average=-0.287731, stdev=0.929226, range=[-1.810365,1.631761], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=-0.142156, stdev=1.100596, range=[-1.747164,2.528167], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  10, average=-0.338599, stdev=1.100965, range=[-2.110041,1.720879], active=1
covariate 9:   name=covariate9, type=float, missing=  1 of  10, average=0.311084, stdev=0.889479, range=[-1.554753,1.518972], active=1
covariate 10:  name=covariate10, type=float, missing=  1 of  10, average=-0.311245, stdev=0.818131, range=[-1.532963,0.949732], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  10, average=-0.176355, stdev=1.002367, range=[-1.837674,1.814524], active=1
covariate 12:  name=covariate12, type=float, missing=  1 of  10, average=-0.173746, stdev=0.898832, range=[-1.692696,1.238553], active=1
covariate 13:  name=covariate13, type=float, missing=  1 of  10, average=-0.121803, stdev=1.328727, range=[-1.658620,2.153803], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  10, average=-0.312480, stdev=0.919059, range=[-2.185342,0.834395], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of  10, average=0.052455, stdev=0.656464, range=[-0.889809,1.085667], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of  10, average=-0.694184, stdev=0.787461, range=[-2.373196,0.382677], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  10, average=-0.366438, stdev=0.603283, range=[-1.178943,0.754894], active=1
covariate 18:  name=covariate18, type=float, missing=  2 of  10, average=0.068673, stdev=0.715000, range=[-1.203903,0.982147], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  10, average=0.085350, stdev=0.871606, range=[-0.865964,2.243344], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  10, average=-0.209069, stdev=0.904049, range=[-1.457633,1.773581], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  10, average=-0.065138, stdev=1.266491, range=[-2.889350,1.593489], active=1
covariate 22:  name=covariate22, type=float, missing=  1 of  10, average=-0.307333, stdev=1.062752, range=[-2.043848,0.959298], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  10, average=-0.130827, stdev=1.226029, range=[-2.179062,1.435903], active=1
covariate 24:  name=covariate24, type=float, missing=  1 of  10, average=-0.218551, stdev=1.165851, range=[-2.645953,0.777251], active=1
