    vars  set          vimp positive
1    A92 VIMP  8.214327e-03     TRUE
2     A4 VIMP  7.894462e-03     TRUE
3     A6 VIMP  3.575347e-03     TRUE
4     A5 VIMP  3.309312e-03     TRUE
5    A40 VIMP  3.055624e-03     TRUE
6    A99 VIMP  2.032622e-03     TRUE
7    A67 VIMP  1.930603e-03     TRUE
8    A98 VIMP  1.573797e-03     TRUE
9    A68 VIMP  1.535594e-03     TRUE
10   A77 VIMP  1.534835e-03     TRUE
11   A37 VIMP  1.453232e-03     TRUE
12  A100 VIMP  1.222048e-03     TRUE
13   A57 VIMP  1.063033e-03     TRUE
14   A78 VIMP  6.386577e-04     TRUE
15   A74 VIMP  6.295058e-04     TRUE
16   A24 VIMP  6.248914e-04     TRUE
17   A12 VIMP  5.565449e-04     TRUE
18   A20 VIMP  4.772984e-04     TRUE
19   A96 VIMP  4.270875e-04     TRUE
20   A84 VIMP  4.225594e-04     TRUE
21   A76 VIMP  3.988101e-04     TRUE
22   A23 VIMP  3.929936e-04     TRUE
23   A25 VIMP  3.893545e-04     TRUE
24   A58 VIMP  3.882617e-04     TRUE
25    A9 VIMP  2.205037e-04     TRUE
26    A8 VIMP  1.139172e-04     TRUE
27   A83 VIMP  1.018124e-05     TRUE
28   A18 VIMP -2.176135e-05    FALSE
29   A93 VIMP -3.288916e-05    FALSE
30    A3 VIMP -3.549321e-05    FALSE
31   A15 VIMP -6.483890e-05    FALSE
32   A97 VIMP -6.849125e-05    FALSE
33    A1 VIMP -6.979833e-05    FALSE
34   A42 VIMP -1.092127e-04    FALSE
35   A80 VIMP -1.218539e-04    FALSE
36   A31 VIMP -1.241458e-04    FALSE
37   A60 VIMP -1.598373e-04    FALSE
38   A72 VIMP -1.823899e-04    FALSE
39   A73 VIMP -2.002274e-04    FALSE
40   A28 VIMP -2.022682e-04    FALSE
41   A39 VIMP -2.093272e-04    FALSE
42   A36 VIMP -2.096748e-04    FALSE
43   A47 VIMP -2.119598e-04    FALSE
44   A82 VIMP -2.496192e-04    FALSE
45   A66 VIMP -2.565428e-04    FALSE
46   A81 VIMP -2.748254e-04    FALSE
47   A34 VIMP -3.046274e-04    FALSE
48   A79 VIMP -3.110026e-04    FALSE
49   A69 VIMP -3.806521e-04    FALSE
50   A29 VIMP -3.818838e-04    FALSE
51   A54 VIMP -4.099995e-04    FALSE
52   A45 VIMP -4.240199e-04    FALSE
53   A87 VIMP -4.278247e-04    FALSE
54   A55 VIMP -4.409448e-04    FALSE
55   A56 VIMP -4.427651e-04    FALSE
56   A90 VIMP -4.539713e-04    FALSE
57   A75 VIMP -4.712886e-04    FALSE
58   A44 VIMP -4.898946e-04    FALSE
59   A35 VIMP -5.335106e-04    FALSE
60    A2 VIMP -5.428189e-04    FALSE
61   A16 VIMP -5.476957e-04    FALSE
62   A33 VIMP -5.656012e-04    FALSE
63   A14 VIMP -5.952094e-04    FALSE
64   A11 VIMP -5.978209e-04    FALSE
65   A17 VIMP -6.175015e-04    FALSE
66   A52 VIMP -6.308278e-04    FALSE
67   A38 VIMP -6.483766e-04    FALSE
68   A91 VIMP -6.544955e-04    FALSE
69   A51 VIMP -6.668131e-04    FALSE
70   A30 VIMP -6.972790e-04    FALSE
71   A50 VIMP -7.051330e-04    FALSE
72   A62 VIMP -7.133461e-04    FALSE
73    A7 VIMP -7.134956e-04    FALSE
74   A95 VIMP -7.197603e-04    FALSE
75   A53 VIMP -7.525303e-04    FALSE
76   A49 VIMP -7.552343e-04    FALSE
77   A65 VIMP -7.667676e-04    FALSE
78   A41 VIMP -7.792423e-04    FALSE
79   A86 VIMP -7.840790e-04    FALSE
80   A63 VIMP -8.512950e-04    FALSE
81   A64 VIMP -8.894242e-04    FALSE
82   A48 VIMP -9.253516e-04    FALSE
83   A61 VIMP -9.450963e-04    FALSE
84   A89 VIMP -9.518892e-04    FALSE
85   A46 VIMP -9.980457e-04    FALSE
86   A70 VIMP -1.000420e-03    FALSE
87   A71 VIMP -1.000474e-03    FALSE
88   A19 VIMP -1.010788e-03    FALSE
89   A26 VIMP -1.031696e-03    FALSE
90   A94 VIMP -1.057239e-03    FALSE
91   A32 VIMP -1.095357e-03    FALSE
92   A43 VIMP -1.101749e-03    FALSE
93   A59 VIMP -1.105441e-03    FALSE
94   A10 VIMP -1.140585e-03    FALSE
95   A21 VIMP -1.174937e-03    FALSE
96   A88 VIMP -1.231819e-03    FALSE
97   A27 VIMP -1.246771e-03    FALSE
98   A13 VIMP -1.371822e-03    FALSE
99   A22 VIMP -1.414546e-03    FALSE
100  A85 VIMP -1.748951e-03    FALSE
