    vars  set          vimp positive
1    A92 VIMP  9.597986e-03     TRUE
2     A4 VIMP  9.568450e-03     TRUE
3     A6 VIMP  5.076857e-03     TRUE
4    A40 VIMP  4.201003e-03     TRUE
5    A77 VIMP  2.527732e-03     TRUE
6    A68 VIMP  2.403619e-03     TRUE
7    A12 VIMP  1.728639e-03     TRUE
8    A98 VIMP  1.633643e-03     TRUE
9    A57 VIMP  1.352280e-03     TRUE
10   A44 VIMP  1.213323e-03     TRUE
11    A5 VIMP  1.139527e-03     TRUE
12   A31 VIMP  1.113849e-03     TRUE
13   A72 VIMP  1.111393e-03     TRUE
14   A99 VIMP  9.819667e-04     TRUE
15  A100 VIMP  8.997306e-04     TRUE
16   A67 VIMP  8.128597e-04     TRUE
17   A24 VIMP  7.076436e-04     TRUE
18   A88 VIMP  5.470991e-04     TRUE
19   A34 VIMP  5.330086e-04     TRUE
20   A45 VIMP  5.238177e-04     TRUE
21   A30 VIMP  4.962080e-04     TRUE
22   A13 VIMP  4.813367e-04     TRUE
23   A87 VIMP  4.228988e-04     TRUE
24   A54 VIMP  3.641445e-04     TRUE
25   A82 VIMP  3.261361e-04     TRUE
26   A86 VIMP  2.066174e-04     TRUE
27   A90 VIMP  1.959662e-04     TRUE
28   A41 VIMP  1.611027e-04     TRUE
29   A37 VIMP  5.778525e-05     TRUE
30   A25 VIMP  5.398470e-05     TRUE
31   A93 VIMP  4.868834e-05     TRUE
32   A83 VIMP  2.560642e-05     TRUE
33   A18 VIMP  2.514565e-05     TRUE
34    A3 VIMP  1.926683e-05     TRUE
35   A66 VIMP -5.608234e-05    FALSE
36   A96 VIMP -7.074697e-05    FALSE
37   A49 VIMP -9.083569e-05    FALSE
38   A32 VIMP -1.149585e-04    FALSE
39   A26 VIMP -1.615678e-04    FALSE
40   A95 VIMP -1.705979e-04    FALSE
41   A23 VIMP -1.785777e-04    FALSE
42    A8 VIMP -1.859122e-04    FALSE
43   A43 VIMP -2.008007e-04    FALSE
44   A33 VIMP -2.065188e-04    FALSE
45   A59 VIMP -2.099154e-04    FALSE
46   A46 VIMP -2.370816e-04    FALSE
47   A58 VIMP -2.396829e-04    FALSE
48   A69 VIMP -2.530412e-04    FALSE
49   A52 VIMP -2.573753e-04    FALSE
50    A9 VIMP -2.771002e-04    FALSE
51   A91 VIMP -2.845332e-04    FALSE
52   A73 VIMP -3.095520e-04    FALSE
53   A71 VIMP -3.665703e-04    FALSE
54   A22 VIMP -3.787703e-04    FALSE
55    A2 VIMP -3.884272e-04    FALSE
56   A47 VIMP -3.920822e-04    FALSE
57   A19 VIMP -4.124329e-04    FALSE
58   A17 VIMP -4.412850e-04    FALSE
59   A65 VIMP -4.423767e-04    FALSE
60   A76 VIMP -4.477289e-04    FALSE
61   A75 VIMP -4.617342e-04    FALSE
62   A35 VIMP -4.708426e-04    FALSE
63   A97 VIMP -5.151976e-04    FALSE
64   A56 VIMP -5.268757e-04    FALSE
65   A29 VIMP -5.315259e-04    FALSE
66   A36 VIMP -5.572084e-04    FALSE
67   A80 VIMP -5.590311e-04    FALSE
68   A20 VIMP -5.625942e-04    FALSE
69   A61 VIMP -5.712600e-04    FALSE
70   A42 VIMP -6.444623e-04    FALSE
71   A60 VIMP -6.755861e-04    FALSE
72   A15 VIMP -6.786447e-04    FALSE
73    A1 VIMP -6.834636e-04    FALSE
74   A48 VIMP -7.056806e-04    FALSE
75   A78 VIMP -7.622533e-04    FALSE
76   A10 VIMP -8.078034e-04    FALSE
77   A89 VIMP -8.243068e-04    FALSE
78   A81 VIMP -8.722154e-04    FALSE
79   A55 VIMP -8.861216e-04    FALSE
80   A74 VIMP -9.109997e-04    FALSE
81   A51 VIMP -9.116922e-04    FALSE
82    A7 VIMP -9.247385e-04    FALSE
83   A94 VIMP -1.013263e-03    FALSE
84   A27 VIMP -1.019841e-03    FALSE
85   A79 VIMP -1.034114e-03    FALSE
86   A11 VIMP -1.088473e-03    FALSE
87   A38 VIMP -1.110267e-03    FALSE
88   A21 VIMP -1.117141e-03    FALSE
89   A62 VIMP -1.138624e-03    FALSE
90   A50 VIMP -1.144375e-03    FALSE
91   A39 VIMP -1.164096e-03    FALSE
92   A14 VIMP -1.189380e-03    FALSE
93   A53 VIMP -1.222675e-03    FALSE
94   A64 VIMP -1.267398e-03    FALSE
95   A70 VIMP -1.338374e-03    FALSE
96   A16 VIMP -1.397605e-03    FALSE
97   A63 VIMP -1.407682e-03    FALSE
98   A85 VIMP -1.521904e-03    FALSE
99   A28 VIMP -1.737615e-03    FALSE
100  A84 VIMP -2.693408e-03    FALSE
