covariate 1:   name=covariate1, type=float, missing= 38 of 100, average=-0.102108, stdev=0.964886, range=[-2.239351,2.519213], active=1
covariate 2:   name=covariate2, type=float, missing= 43 of 100, average=0.095204, stdev=0.828579, range=[-2.259698,2.006057], active=1
covariate 3:   name=covariate3, type=float, missing= 42 of 100, average=0.031742, stdev=1.008006, range=[-2.569519,1.917562], active=1
covariate 4:   name=covariate4, type=float, missing= 34 of 100, average=-0.011602, stdev=1.031605, range=[-1.728685,2.475585], active=1
covariate 5:   name=covariate5, type=float, missing= 41 of 100, average=0.198222, stdev=0.858958, range=[-2.239820,2.765934], active=1
covariate 6:   name=covariate6, type=float, missing= 29 of 100, average=0.143699, stdev=0.866943, range=[-1.905472,1.934897], active=1
covariate 7:   name=covariate7, type=float, missing= 47 of 100, average=-0.026553, stdev=1.035864, range=[-3.039797,2.573013], active=1
covariate 8:   name=covariate8, type=float, missing= 39 of 100, average=-0.116983, stdev=1.066042, range=[-2.478299,2.763091], active=1
covariate 9:   name=covariate9, type=float, missing= 41 of 100, average=-0.216398, stdev=0.968245, range=[-2.541886,1.989683], active=1
covariate 10:  name=covariate10, type=float, missing= 39 of 100, average=-0.079481, stdev=0.916764, range=[-1.913056,2.069309], active=1
covariate 11:  name=covariate11, type=float, missing= 39 of 100, average=-0.046027, stdev=0.948635, range=[-2.173122,2.373965], active=1
covariate 12:  name=covariate12, type=float, missing= 37 of 100, average=0.104287, stdev=1.024495, range=[-1.925137,2.823949], active=1
covariate 13:  name=covariate13, type=float, missing= 41 of 100, average=-0.112485, stdev=0.944844, range=[-1.781465,2.409397], active=1
covariate 14:  name=covariate14, type=float, missing= 38 of 100, average=-0.076491, stdev=0.941260, range=[-2.055909,2.508751], active=1
covariate 15:  name=covariate15, type=float, missing= 45 of 100, average=0.051782, stdev=0.962124, range=[-1.849817,2.651226], active=1
covariate 16:  name=covariate16, type=float, missing= 34 of 100, average=-0.182728, stdev=1.054235, range=[-2.879930,1.932662], active=1
covariate 17:  name=covariate17, type=float, missing= 42 of 100, average=-0.206572, stdev=0.867220, range=[-1.990708,2.670045], active=1
covariate 18:  name=covariate18, type=float, missing= 43 of 100, average=0.036147, stdev=0.910137, range=[-2.870873,2.402648], active=1
covariate 19:  name=covariate19, type=float, missing= 39 of 100, average=0.314206, stdev=0.942340, range=[-2.107773,1.902595], active=1
covariate 20:  name=covariate20, type=float, missing= 54 of 100, average=0.000090, stdev=0.943240, range=[-1.750369,3.336315], active=1
