covariate 1:   name=covariate1, type=float, missing=  3 of  50, average=0.202523, stdev=1.119112, range=[-2.027618,2.738528], active=1
covariate 2:   name=covariate2, type=float, missing=  4 of  50, average=0.069948, stdev=0.930316, range=[-2.310043,2.434406], active=1
covariate 3:   name=covariate3, type=float, missing=  1 of  50, average=0.152042, stdev=0.871755, range=[-1.758728,2.558556], active=1
covariate 4:   name=covariate4, type=float, missing=  2 of  50, average=-0.076201, stdev=0.902936, range=[-1.936293,1.743786], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  50, average=-0.133494, stdev=0.914891, range=[-2.037242,2.495103], active=1
covariate 6:   name=covariate6, type=float, missing=  1 of  50, average=-0.040832, stdev=1.000584, range=[-2.501427,2.388598], active=1
covariate 7:   name=covariate7, type=float, missing=  2 of  50, average=0.030335, stdev=0.962743, range=[-1.850641,2.224455], active=1
covariate 8:   name=covariate8, type=float, missing=  4 of  50, average=-0.143993, stdev=1.069436, range=[-2.683177,2.552009], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=-0.098115, stdev=0.956464, range=[-2.740464,1.993730], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of  50, average=-0.043399, stdev=1.100034, range=[-2.090388,2.014740], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of  50, average=0.021530, stdev=1.082154, range=[-2.435102,2.469533], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  50, average=0.200814, stdev=0.890487, range=[-2.339679,2.103022], active=1
covariate 13:  name=covariate13, type=float, missing=  3 of  50, average=0.216880, stdev=1.032416, range=[-1.637116,2.441140], active=1
covariate 14:  name=covariate14, type=float, missing=  2 of  50, average=0.031357, stdev=1.191029, range=[-3.137858,2.300135], active=1
covariate 15:  name=covariate15, type=float, missing=  2 of  50, average=0.145130, stdev=0.853600, range=[-2.146013,2.187612], active=1
covariate 16:  name=covariate16, type=float, missing=  3 of  50, average=0.021770, stdev=0.874583, range=[-2.112616,2.086861], active=1
covariate 17:  name=covariate17, type=float, missing=  3 of  50, average=-0.138467, stdev=0.999317, range=[-2.092252,1.804850], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  50, average=-0.006583, stdev=0.864632, range=[-1.875212,1.646047], active=1
covariate 19:  name=covariate19, type=float, missing=  5 of  50, average=0.050362, stdev=0.780744, range=[-1.766674,1.353362], active=1
covariate 20:  name=covariate20, type=float, missing=  3 of  50, average=-0.212393, stdev=0.936761, range=[-2.757699,1.653208], active=1
covariate 21:  name=covariate21, type=float, missing=  3 of  50, average=0.069230, stdev=1.142681, range=[-1.651819,2.474168], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of  50, average=0.119899, stdev=1.137876, range=[-2.553636,2.269349], active=1
covariate 23:  name=covariate23, type=float, missing=  2 of  50, average=0.118586, stdev=1.079571, range=[-1.862322,2.499380], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of  50, average=-0.183493, stdev=0.908806, range=[-1.912486,1.632979], active=1
covariate 25:  name=covariate25, type=float, missing=  2 of  50, average=0.205912, stdev=0.970111, range=[-1.614016,2.880405], active=1
covariate 26:  name=covariate26, type=float, missing=  3 of  50, average=0.062084, stdev=0.818661, range=[-1.505652,1.815232], active=1
covariate 27:  name=covariate27, type=float, missing=  3 of  50, average=0.181969, stdev=1.158827, range=[-2.248327,3.529561], active=1
covariate 28:  name=covariate28, type=float, missing=  4 of  50, average=0.049612, stdev=1.125908, range=[-3.097303,2.280932], active=1
covariate 29:  name=covariate29, type=float, missing=  4 of  50, average=-0.174566, stdev=1.057463, range=[-2.195413,1.917539], active=1
covariate 30:  name=covariate30, type=float, missing=  3 of  50, average=0.194426, stdev=0.936705, range=[-1.946546,1.491243], active=1
covariate 31:  name=covariate31, type=float, missing=  1 of  50, average=0.006542, stdev=1.065682, range=[-2.447576,1.834509], active=1
covariate 32:  name=covariate32, type=float, missing=  1 of  50, average=0.151005, stdev=1.008306, range=[-2.462698,2.001674], active=1
covariate 33:  name=covariate33, type=float, missing=  1 of  50, average=-0.014325, stdev=0.986143, range=[-2.173013,2.400273], active=1
covariate 34:  name=covariate34, type=float, missing=  4 of  50, average=0.090632, stdev=1.097665, range=[-1.857575,2.675762], active=1
covariate 35:  name=covariate35, type=float, missing=  2 of  50, average=-0.046480, stdev=0.916168, range=[-2.031248,1.820410], active=1
covariate 36:  name=covariate36, type=float, missing=  3 of  50, average=-0.030763, stdev=0.878799, range=[-1.788118,1.783606], active=1
covariate 37:  name=covariate37, type=float, missing=  4 of  50, average=-0.110970, stdev=0.880685, range=[-1.552639,2.382663], active=1
covariate 38:  name=covariate38, type=float, missing=  2 of  50, average=0.272720, stdev=1.103356, range=[-2.206382,2.489341], active=1
covariate 39:  name=covariate39, type=float, missing=  2 of  50, average=-0.000854, stdev=1.075423, range=[-2.442417,2.259665], active=1
covariate 40:  name=covariate40, type=float, missing=  1 of  50, average=-0.202908, stdev=0.968484, range=[-2.747748,1.654067], active=1
