covariate 1:   name=covariate1, type=float, missing= 37 of 100, average=0.062002, stdev=0.983296, range=[-1.882317,2.579115], active=1
covariate 2:   name=covariate2, type=float, missing= 40 of 100, average=0.108621, stdev=0.983433, range=[-2.495676,2.674327], active=1
covariate 3:   name=covariate3, type=float, missing= 43 of 100, average=0.038652, stdev=1.147389, range=[-2.766206,2.157446], active=1
covariate 4:   name=covariate4, type=float, missing= 34 of 100, average=0.128077, stdev=1.064748, range=[-2.314881,2.802932], active=1
covariate 5:   name=covariate5, type=float, missing= 38 of 100, average=0.271771, stdev=0.944658, range=[-1.492663,2.753835], active=1
covariate 6:   name=covariate6, type=float, missing= 48 of 100, average=-0.150990, stdev=0.980492, range=[-2.128376,2.034596], active=1
covariate 7:   name=covariate7, type=float, missing= 43 of 100, average=-0.409357, stdev=1.202644, range=[-3.400948,2.773034], active=1
covariate 8:   name=covariate8, type=float, missing= 43 of 100, average=0.161771, stdev=0.821601, range=[-2.080324,2.016985], active=1
covariate 9:   name=covariate9, type=float, missing= 37 of 100, average=-0.056830, stdev=1.163513, range=[-3.074939,2.802995], active=1
covariate 10:  name=covariate10, type=float, missing= 42 of 100, average=-0.048635, stdev=0.887981, range=[-2.271392,1.736049], active=1
covariate 11:  name=covariate11, type=float, missing= 42 of 100, average=0.264763, stdev=0.983955, range=[-2.523458,2.640531], active=1
covariate 12:  name=covariate12, type=float, missing= 44 of 100, average=-0.001378, stdev=1.053757, range=[-2.552862,2.079848], active=1
covariate 13:  name=covariate13, type=float, missing= 39 of 100, average=-0.170015, stdev=0.943158, range=[-2.181118,1.825657], active=1
covariate 14:  name=covariate14, type=float, missing= 41 of 100, average=-0.012517, stdev=0.994350, range=[-2.712975,1.641277], active=1
covariate 15:  name=covariate15, type=float, missing= 34 of 100, average=-0.074527, stdev=0.957889, range=[-2.318664,2.163809], active=1
covariate 16:  name=covariate16, type=float, missing= 39 of 100, average=-0.174465, stdev=0.874842, range=[-2.176792,1.495730], active=1
covariate 17:  name=covariate17, type=float, missing= 30 of 100, average=-0.045830, stdev=0.861966, range=[-1.684186,1.958559], active=1
covariate 18:  name=covariate18, type=float, missing= 50 of 100, average=-0.162259, stdev=0.954777, range=[-2.439821,1.526145], active=1
covariate 19:  name=covariate19, type=float, missing= 36 of 100, average=-0.108593, stdev=1.066572, range=[-2.606012,1.805843], active=1
covariate 20:  name=covariate20, type=float, missing= 45 of 100, average=0.105215, stdev=1.047394, range=[-2.616190,2.158917], active=1
covariate 21:  name=covariate21, type=float, missing= 46 of 100, average=0.129072, stdev=0.803418, range=[-1.643800,1.712798], active=1
covariate 22:  name=covariate22, type=float, missing= 38 of 100, average=-0.132720, stdev=0.937483, range=[-2.943913,3.135171], active=1
covariate 23:  name=covariate23, type=float, missing= 29 of 100, average=0.118150, stdev=0.981780, range=[-2.129533,2.625229], active=1
covariate 24:  name=covariate24, type=float, missing= 39 of 100, average=0.060825, stdev=0.990678, range=[-1.992208,3.101462], active=1
covariate 25:  name=covariate25, type=float, missing= 40 of 100, average=0.035907, stdev=0.846822, range=[-2.050940,2.077705], active=1
covariate 26:  name=covariate26, type=float, missing= 41 of 100, average=0.144270, stdev=0.956941, range=[-2.260846,2.276344], active=1
covariate 27:  name=covariate27, type=float, missing= 47 of 100, average=-0.225539, stdev=1.131786, range=[-3.743348,2.863908], active=1
covariate 28:  name=covariate28, type=float, missing= 35 of 100, average=-0.013737, stdev=0.870790, range=[-1.816391,1.817762], active=1
covariate 29:  name=covariate29, type=float, missing= 33 of 100, average=0.007154, stdev=0.974863, range=[-2.334229,1.829442], active=1
covariate 30:  name=covariate30, type=float, missing= 43 of 100, average=-0.156796, stdev=1.117338, range=[-3.083509,2.203830], active=1
covariate 31:  name=covariate31, type=float, missing= 53 of 100, average=0.129708, stdev=0.873998, range=[-2.275741,1.798017], active=1
covariate 32:  name=covariate32, type=float, missing= 44 of 100, average=-0.039316, stdev=0.831378, range=[-1.977219,2.672286], active=1
covariate 33:  name=covariate33, type=float, missing= 37 of 100, average=-0.161686, stdev=1.058083, range=[-2.261702,2.222440], active=1
covariate 34:  name=covariate34, type=float, missing= 49 of 100, average=0.032999, stdev=1.089133, range=[-2.070166,2.395150], active=1
covariate 35:  name=covariate35, type=float, missing= 38 of 100, average=-0.053004, stdev=0.872130, range=[-2.114874,1.855230], active=1
covariate 36:  name=covariate36, type=float, missing= 37 of 100, average=-0.156299, stdev=0.890294, range=[-2.233470,1.959826], active=1
covariate 37:  name=covariate37, type=float, missing= 32 of 100, average=-0.293187, stdev=0.997019, range=[-2.603420,1.899080], active=1
