covariate 1:   name=covariate1, type=float, missing=  0 of  50, average=-0.113434, stdev=1.012537, range=[-2.931184,1.772670], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of  50, average=-0.331279, stdev=0.963107, range=[-3.445003,1.351316], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of  50, average=0.153322, stdev=0.921743, range=[-1.539027,1.932859], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  50, average=0.015338, stdev=1.018032, range=[-2.026170,2.005005], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of  50, average=0.257837, stdev=0.817483, range=[-1.102222,2.564098], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  50, average=0.028754, stdev=0.858295, range=[-1.995870,2.185549], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  50, average=0.062626, stdev=1.018469, range=[-2.395451,2.233728], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  50, average=-0.062422, stdev=1.087837, range=[-2.412581,2.605168], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of  50, average=0.002708, stdev=1.091629, range=[-3.024593,1.961143], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of  50, average=-0.189516, stdev=0.882702, range=[-2.386807,1.362488], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  50, average=-0.035489, stdev=0.816164, range=[-1.450868,1.669548], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of  50, average=-0.088526, stdev=0.918673, range=[-2.026576,1.939126], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  50, average=0.207523, stdev=0.927787, range=[-2.560616,1.690383], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of  50, average=-0.044732, stdev=0.921685, range=[-2.619662,1.745381], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of  50, average=-0.183501, stdev=1.236033, range=[-3.039521,2.515217], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of  50, average=0.028565, stdev=0.805258, range=[-2.258268,1.860613], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  50, average=-0.180437, stdev=0.801499, range=[-1.791032,1.862599], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  50, average=0.127758, stdev=0.916397, range=[-2.277837,2.289074], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  50, average=0.236691, stdev=0.902574, range=[-2.460124,1.926799], active=1
