covariate 1:   type=float, missing=  5 of  50, average=-0.106280, stdev=0.816228, range=[-1.600923,1.873543], active=1
covariate 2:   type=float, missing=  4 of  50, average=-0.151565, stdev=1.070096, range=[-2.689630,2.925034], active=1
covariate 3:   type=float, missing=  0 of  50, average=-0.035025, stdev=1.043256, range=[-2.025469,2.877474], active=1
covariate 4:   type=float, missing=  6 of  50, average=-0.061847, stdev=1.066869, range=[-3.274047,2.066320], active=1
covariate 5:   type=float, missing=  1 of  50, average=-0.148712, stdev=1.100341, range=[-3.150051,2.544826], active=1
covariate 6:   type=float, missing=  3 of  50, average=-0.073057, stdev=0.697218, range=[-1.347336,1.541107], active=1
covariate 7:   type=float, missing=  2 of  50, average=0.075875, stdev=1.064939, range=[-2.055929,2.193473], active=1
covariate 8:   type=float, missing=  4 of  50, average=-0.163981, stdev=1.215434, range=[-2.335230,3.055403], active=1
covariate 9:   type=float, missing=  5 of  50, average=-0.025479, stdev=1.100343, range=[-2.185615,3.189790], active=1
covariate 10:  type=float, missing=  1 of  50, average=-0.141765, stdev=0.995998, range=[-2.220706,2.343421], active=1
covariate 11:  type=float, missing=  2 of  50, average=0.065527, stdev=0.943410, range=[-2.545697,2.933245], active=1
covariate 12:  type=float, missing=  0 of  50, average=-0.322924, stdev=1.022006, range=[-2.804609,2.169597], active=1
covariate 13:  type=float, missing=  0 of  50, average=-0.184123, stdev=1.053174, range=[-2.266225,1.931065], active=1
covariate 14:  type=float, missing=  4 of  50, average=0.001832, stdev=1.123073, range=[-2.383920,2.512390], active=1
covariate 15:  type=float, missing=  3 of  50, average=-0.013657, stdev=1.063611, range=[-2.696534,2.252509], active=1
covariate 16:  type=float, missing=  1 of  50, average=-0.024875, stdev=0.802740, range=[-1.836097,1.654356], active=1
covariate 17:  type=float, missing=  2 of  50, average=0.320778, stdev=0.980631, range=[-1.852588,2.956060], active=1
covariate 18:  type=float, missing=  1 of  50, average=-0.155928, stdev=1.095066, range=[-2.465548,1.993726], active=1
covariate 19:  type=float, missing=  1 of  50, average=0.054087, stdev=0.933993, range=[-1.679637,3.069074], active=1
covariate 20:  type=float, missing=  1 of  50, average=-0.120320, stdev=0.944779, range=[-2.504659,1.943774], active=1
covariate 21:  type=float, missing=  2 of  50, average=0.127496, stdev=0.990596, range=[-2.184532,2.710360], active=1
covariate 22:  type=float, missing=  3 of  50, average=0.042064, stdev=0.751758, range=[-1.723735,1.525663], active=1
covariate 23:  type=float, missing=  2 of  50, average=0.045676, stdev=0.859148, range=[-1.665699,2.046218], active=1
covariate 24:  type=float, missing=  3 of  50, average=-0.195821, stdev=1.053273, range=[-2.573445,2.912244], active=1
covariate 25:  type=float, missing=  5 of  50, average=0.075409, stdev=1.157067, range=[-2.302740,2.562656], active=1
covariate 26:  type=float, missing=  2 of  50, average=-0.065855, stdev=0.947117, range=[-1.880366,2.095188], active=1
covariate 27:  type=float, missing=  3 of  50, average=-0.254848, stdev=0.964601, range=[-2.510550,2.143805], active=1
covariate 28:  type=float, missing=  0 of  50, average=0.024302, stdev=0.830002, range=[-1.789361,2.190989], active=1
covariate 29:  type=float, missing=  0 of  50, average=-0.230875, stdev=0.887756, range=[-2.504845,1.727621], active=1
covariate 30:  type=float, missing=  2 of  50, average=0.033975, stdev=1.124076, range=[-2.331866,2.580774], active=1
covariate 31:  type=float, missing=  6 of  50, average=-0.073488, stdev=0.973214, range=[-2.253218,2.018448], active=1
