N=200
P=10
R=2
1 NA -0.627645 0.404795 1.559526 -0.359674 -1.010497 -0.331758 -0.771054 0.393098 -0.106410 0.988707 1.000000
2 -1.569634 -0.735690 -0.001491 0.420878 -2.287860 2.093927 1.053311 -0.928215 0.150759 0.843787 5.316543 0.000000
3 0.214657 -2.042603 1.366216 0.378238 0.386336 -0.626496 -2.347418 0.431138 0.911588 1.321615 0.053518 1.000000
4 -0.289242 0.839636 1.393470 -1.642220 0.763118 0.353352 1.420766 1.243678 1.077478 2.195704 3.198514 1.000000
5 0.190616 -1.658553 0.451013 -0.186833 -2.111638 1.404891 0.324278 -1.159825 NA -0.682434 3.421449 0.000000
6 0.571148 -2.205647 NA -0.441787 1.448447 -0.760697 0.856918 0.139487 -0.078689 -0.830861 0.266838 1.000000
7 -0.387038 1.161129 0.108456 -1.334408 NA -1.032563 2.195721 -1.280332 -0.259096 -1.201644 3.060896 1.000000
8 0.333037 -0.744885 0.270108 -1.026590 -1.578582 0.640431 -0.186758 -0.045286 1.135214 -0.141432 4.692445 0.000000
9 0.306228 -1.413641 -0.134456 -0.857048 0.126727 -1.741312 -0.068960 -0.227706 -0.694369 0.064416 1.257396 1.000000
10 0.604453 -0.725724 -0.410388 NA -0.899867 -2.145402 1.159381 1.526444 NA -1.078361 1.931482 1.000000
11 0.271479 -0.591741 0.494357 0.900559 0.002082 0.246637 NA 1.081101 -1.076890 NA 7.176275 1.000000
12 -0.766115 -0.197477 -0.578216 0.424241 -0.696201 0.711686 0.239593 -0.183011 1.371614 1.313041 3.814274 0.000000
13 -1.207287 1.656158 1.118836 -0.004012 -3.257304 -0.395876 NA 2.320182 NA -0.041902 6.033148 0.000000
14 -0.840337 0.508793 -0.999705 -0.056607 -0.321627 -0.277944 -0.955430 -1.181055 -0.888930 -0.343352 1.521822 0.000000
15 -0.801121 -1.007063 -0.476476 0.287517 2.226018 -0.869761 NA NA -0.072325 0.294354 0.907304 1.000000
16 0.019220 0.166668 -1.009713 1.380811 0.900383 -1.163212 -0.584456 0.579424 1.743376 0.879178 1.186350 0.000000
17 -0.170838 -1.252230 -0.139905 -1.816883 -2.146513 0.849958 0.578617 -0.169540 0.431945 -0.520570 6.283502 0.000000
18 1.039419 0.137951 1.690463 -0.403126 0.996209 NA 0.541105 0.989947 2.553157 -1.157243 5.432734 1.000000
19 -0.555912 -1.177138 -1.299547 1.356951 -0.600691 -0.977405 1.008165 -0.376254 -0.132373 1.090603 9.539097 0.000000
20 0.353270 -1.337456 2.571887 -1.252222 -1.630853 -0.036655 -2.048912 -0.916783 NA 0.870802 2.540357 1.000000
21 NA 0.025250 -0.471132 -1.458631 -0.102706 -1.358986 0.292967 0.093806 1.119889 -1.463123 7.529451 0.000000
22 0.111764 0.952714 0.650812 0.908839 -0.746798 -1.199653 -0.862243 -0.516933 0.978745 -0.771853 0.473685 1.000000
23 -0.565641 -1.603206 0.396490 -0.717882 -2.078833 -0.332061 0.553242 1.354871 0.789328 1.276863 5.024040 0.000000
24 0.071443 -0.940072 0.884798 0.357476 -0.216190 -0.395367 0.878420 1.605732 0.567627 0.741810 1.466361 1.000000
25 -2.098483 -0.625673 -1.629600 -0.942490 NA 0.674997 -0.014470 -0.409472 -0.230874 0.246695 11.320886 0.000000
