covariate 1:   name=covariate1, type=float, missing=  3 of  50, average=-0.038652, stdev=1.088908, range=[-2.106286,2.406712], active=1
covariate 2:   name=covariate2, type=float, missing=  2 of  50, average=-0.035496, stdev=1.132621, range=[-3.170059,2.493590], active=1
covariate 3:   name=covariate3, type=float, missing=  1 of  50, average=0.221173, stdev=0.874100, range=[-1.728999,2.533873], active=1
covariate 4:   name=covariate4, type=float, missing=  1 of  50, average=-0.303369, stdev=0.916833, range=[-2.224059,1.871102], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  50, average=0.012483, stdev=0.881154, range=[-1.951841,1.838820], active=1
covariate 6:   name=covariate6, type=float, missing=  2 of  50, average=0.024038, stdev=0.902438, range=[-1.733702,2.390807], active=1
covariate 7:   name=covariate7, type=float, missing=  1 of  50, average=-0.012723, stdev=1.026498, range=[-2.777585,2.229137], active=1
covariate 8:   name=covariate8, type=float, missing=  3 of  50, average=-0.111455, stdev=0.990285, range=[-2.374140,2.022840], active=1
covariate 9:   name=covariate9, type=float, missing=  3 of  50, average=0.076694, stdev=0.981033, range=[-1.793816,2.451867], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of  50, average=-0.283313, stdev=0.838458, range=[-2.675676,1.497429], active=1
covariate 11:  name=covariate11, type=float, missing=  3 of  50, average=-0.136426, stdev=0.840532, range=[-2.135071,1.999553], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of  50, average=-0.222171, stdev=1.161571, range=[-3.227454,2.375841], active=1
covariate 13:  name=covariate13, type=float, missing=  2 of  50, average=0.086514, stdev=1.074607, range=[-2.054279,2.770755], active=1
covariate 14:  name=covariate14, type=float, missing=  2 of  50, average=0.230266, stdev=1.111387, range=[-2.415048,2.269168], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of  50, average=-0.053343, stdev=0.984261, range=[-3.080196,2.297237], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  50, average=0.315046, stdev=1.026116, range=[-1.619502,2.807700], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of  50, average=-0.172261, stdev=1.192570, range=[-2.965760,2.465690], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  50, average=-0.180479, stdev=0.996330, range=[-2.657749,1.903633], active=1
covariate 19:  name=covariate19, type=float, missing=  4 of  50, average=0.157195, stdev=0.901193, range=[-1.783882,2.271421], active=1
covariate 20:  name=covariate20, type=float, missing=  4 of  50, average=0.103402, stdev=0.867707, range=[-1.986812,2.118278], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of  50, average=-0.297252, stdev=1.070766, range=[-3.276682,1.593985], active=1
covariate 22:  name=covariate22, type=float, missing=  5 of  50, average=0.342299, stdev=0.852874, range=[-1.590484,2.347298], active=1
covariate 23:  name=covariate23, type=float, missing=  3 of  50, average=-0.131938, stdev=1.123767, range=[-2.880985,2.216450], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of  50, average=0.182557, stdev=0.781970, range=[-1.724193,2.089170], active=1
covariate 25:  name=covariate25, type=float, missing=  1 of  50, average=0.281215, stdev=1.002254, range=[-1.751724,2.644829], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=0.023027, stdev=0.937458, range=[-2.072259,1.629721], active=1
covariate 27:  name=covariate27, type=float, missing=  4 of  50, average=0.004239, stdev=0.983516, range=[-2.605644,1.529716], active=1
covariate 28:  name=covariate28, type=float, missing=  1 of  50, average=0.010492, stdev=0.993937, range=[-2.925304,1.701723], active=1
covariate 29:  name=covariate29, type=float, missing=  2 of  50, average=-0.022436, stdev=0.909127, range=[-2.128115,1.836009], active=1
covariate 30:  name=covariate30, type=float, missing=  1 of  50, average=-0.028155, stdev=0.954514, range=[-2.208314,1.840288], active=1
covariate 31:  name=covariate31, type=float, missing=  3 of  50, average=-0.174551, stdev=0.943126, range=[-1.945011,1.869105], active=1
covariate 32:  name=covariate32, type=float, missing=  1 of  50, average=0.068026, stdev=1.130766, range=[-2.957605,2.858314], active=1
covariate 33:  name=covariate33, type=float, missing=  3 of  50, average=0.195556, stdev=0.915326, range=[-1.806966,2.042386], active=1
covariate 34:  name=covariate34, type=float, missing=  1 of  50, average=0.014240, stdev=0.988174, range=[-1.863646,2.154458], active=1
covariate 35:  name=covariate35, type=float, missing=  5 of  50, average=-0.049927, stdev=0.914413, range=[-2.385065,2.289790], active=1
covariate 36:  name=covariate36, type=float, missing=  4 of  50, average=0.061128, stdev=0.967293, range=[-2.089802,1.816225], active=1
covariate 37:  name=covariate37, type=float, missing=  2 of  50, average=0.140380, stdev=0.939568, range=[-1.933676,2.142125], active=1
covariate 38:  name=covariate38, type=float, missing=  4 of  50, average=0.194239, stdev=0.771962, range=[-1.231945,1.900900], active=1
covariate 39:  name=covariate39, type=float, missing=  2 of  50, average=0.141180, stdev=1.062886, range=[-2.235090,2.532655], active=1
covariate 40:  name=covariate40, type=float, missing=  4 of  50, average=-0.115163, stdev=1.308102, range=[-2.618307,3.651648], active=1
