covariate 1:   name=covariate1, type=float, missing= 14 of 200, average=0.074347, stdev=1.025952, range=[-2.544921,2.926556], active=1
covariate 2:   name=covariate2, type=float, missing= 13 of 200, average=-0.094687, stdev=1.027623, range=[-3.089631,2.454977], active=1
covariate 3:   name=covariate3, type=float, missing=  7 of 200, average=0.041110, stdev=0.968948, range=[-2.655299,2.201685], active=1
covariate 4:   name=covariate4, type=float, missing=  9 of 200, average=0.018930, stdev=1.011205, range=[-3.496512,2.845175], active=1
covariate 5:   name=covariate5, type=float, missing= 11 of 200, average=-0.005896, stdev=1.032726, range=[-2.638557,2.623497], active=1
covariate 6:   name=covariate6, type=float, missing= 13 of 200, average=-0.057830, stdev=1.019769, range=[-2.184446,2.784116], active=1
covariate 7:   name=covariate7, type=float, missing=  5 of 200, average=0.016011, stdev=1.083855, range=[-3.581344,2.705489], active=1
covariate 8:   name=covariate8, type=float, missing=  8 of 200, average=0.196809, stdev=1.023246, range=[-2.301380,2.992504], active=1
covariate 9:   name=covariate9, type=float, missing= 11 of 200, average=0.045219, stdev=0.988252, range=[-2.006999,3.192238], active=1
covariate 10:  name=covariate10, type=float, missing= 11 of 200, average=-0.000177, stdev=0.977520, range=[-2.535633,2.672972], active=1
covariate 11:  name=covariate11, type=float, missing=  9 of 200, average=-0.042290, stdev=1.076374, range=[-2.190087,2.978166], active=1
covariate 12:  name=covariate12, type=float, missing= 10 of 200, average=-0.087353, stdev=1.011549, range=[-2.824011,2.499089], active=1
covariate 13:  name=covariate13, type=float, missing= 13 of 200, average=0.032144, stdev=0.896404, range=[-2.361498,2.111845], active=1
covariate 14:  name=covariate14, type=float, missing= 11 of 200, average=-0.068352, stdev=1.075193, range=[-2.961398,2.985959], active=1
covariate 15:  name=covariate15, type=float, missing= 12 of 200, average=-0.002213, stdev=0.954739, range=[-3.006426,2.331334], active=1
covariate 16:  name=covariate16, type=float, missing= 13 of 200, average=0.020185, stdev=1.013960, range=[-2.523408,2.356236], active=1
covariate 17:  name=covariate17, type=float, missing= 14 of 200, average=0.011739, stdev=1.052603, range=[-3.231465,2.702074], active=1
covariate 18:  name=covariate18, type=float, missing= 18 of 200, average=0.015633, stdev=1.023269, range=[-4.104114,2.161180], active=1
covariate 19:  name=covariate19, type=float, missing=  8 of 200, average=-0.125196, stdev=0.970893, range=[-2.445060,2.654585], active=1
covariate 20:  name=covariate20, type=float, missing=  8 of 200, average=0.008619, stdev=1.003293, range=[-2.076776,2.901628], active=1
covariate 21:  name=covariate21, type=float, missing= 12 of 200, average=-0.021291, stdev=1.059587, range=[-2.440715,2.917903], active=1
covariate 22:  name=covariate22, type=float, missing= 11 of 200, average=0.026837, stdev=1.076422, range=[-2.770370,2.360140], active=1
covariate 23:  name=covariate23, type=float, missing= 11 of 200, average=-0.017937, stdev=0.959552, range=[-3.079918,2.579738], active=1
covariate 24:  name=covariate24, type=float, missing=  2 of 200, average=-0.038522, stdev=0.967315, range=[-2.180058,2.843605], active=1
covariate 25:  name=covariate25, type=float, missing=  9 of 200, average=-0.076712, stdev=1.017318, range=[-3.071395,2.710745], active=1
