covariate 1:   type=float, missing=  5 of  50, average=0.245418, stdev=1.078536, range=[-3.131639,3.302952], active=1
covariate 2:   type=float, missing=  2 of  50, average=-0.042128, stdev=1.019938, range=[-2.831090,1.980411], active=1
covariate 3:   type=float, missing=  3 of  50, average=0.306954, stdev=1.073228, range=[-1.986356,2.496129], active=1
covariate 4:   type=float, missing=  1 of  50, average=0.284204, stdev=1.006582, range=[-1.773799,2.489374], active=1
covariate 5:   type=float, missing=  2 of  50, average=-0.089296, stdev=0.778820, range=[-1.703892,2.581333], active=1
covariate 6:   type=float, missing=  2 of  50, average=0.052980, stdev=0.941869, range=[-2.149249,2.158418], active=1
covariate 7:   type=float, missing=  0 of  50, average=-0.131273, stdev=0.869166, range=[-2.123517,1.637614], active=1
covariate 8:   type=float, missing=  2 of  50, average=0.065845, stdev=0.969480, range=[-2.010648,1.902117], active=1
covariate 9:   type=float, missing=  2 of  50, average=0.010155, stdev=1.044983, range=[-2.056220,2.717201], active=1
covariate 10:  type=float, missing=  1 of  50, average=0.037419, stdev=0.930337, range=[-2.165011,2.418423], active=1
covariate 11:  type=float, missing=  2 of  50, average=-0.122404, stdev=1.059136, range=[-2.168773,3.025953], active=1
covariate 12:  type=float, missing=  3 of  50, average=0.124109, stdev=1.055518, range=[-2.059064,2.480782], active=1
covariate 13:  type=float, missing=  1 of  50, average=0.210774, stdev=1.025097, range=[-2.204923,2.428998], active=1
covariate 14:  type=float, missing=  2 of  50, average=-0.153705, stdev=1.140054, range=[-2.544496,2.271288], active=1
covariate 15:  type=float, missing=  4 of  50, average=-0.026611, stdev=1.029411, range=[-2.304665,1.752468], active=1
covariate 16:  type=float, missing=  3 of  50, average=-0.204500, stdev=0.839923, range=[-2.023508,1.986247], active=1
covariate 17:  type=float, missing=  1 of  50, average=-0.078540, stdev=0.886348, range=[-1.643508,1.913598], active=1
covariate 18:  type=float, missing=  5 of  50, average=0.010433, stdev=0.963673, range=[-1.674090,2.229273], active=1
covariate 19:  type=float, missing=  4 of  50, average=0.036591, stdev=1.068291, range=[-2.152721,2.242220], active=1
