covariate 1:   name=covariate1, type=float, missing= 24 of 100, average=-0.067113, stdev=0.949201, range=[-2.239351,2.519213], active=1
covariate 2:   name=covariate2, type=float, missing= 23 of 100, average=0.039439, stdev=0.921907, range=[-2.435283,2.006057], active=1
covariate 3:   name=covariate3, type=float, missing= 21 of 100, average=0.068128, stdev=0.952636, range=[-2.569519,1.917562], active=1
covariate 4:   name=covariate4, type=float, missing= 14 of 100, average=0.065358, stdev=1.022684, range=[-1.728685,2.475585], active=1
covariate 5:   name=covariate5, type=float, missing= 18 of 100, average=0.061458, stdev=0.888320, range=[-2.239820,2.765934], active=1
covariate 6:   name=covariate6, type=float, missing= 20 of 100, average=0.134627, stdev=0.869335, range=[-1.905472,1.934897], active=1
covariate 7:   name=covariate7, type=float, missing= 19 of 100, average=0.161703, stdev=1.041215, range=[-3.039797,2.573013], active=1
covariate 8:   name=covariate8, type=float, missing= 16 of 100, average=-0.078235, stdev=1.066474, range=[-2.478299,3.151568], active=1
covariate 9:   name=covariate9, type=float, missing= 17 of 100, average=-0.251293, stdev=0.940923, range=[-2.541886,1.989683], active=1
covariate 10:  name=covariate10, type=float, missing= 15 of 100, average=-0.047292, stdev=0.903399, range=[-1.913056,2.069309], active=1
covariate 11:  name=covariate11, type=float, missing= 16 of 100, average=0.066845, stdev=0.920027, range=[-2.173122,2.373965], active=1
covariate 12:  name=covariate12, type=float, missing= 16 of 100, average=0.153032, stdev=0.999316, range=[-1.925137,2.823949], active=1
covariate 13:  name=covariate13, type=float, missing= 15 of 100, average=-0.066273, stdev=0.905250, range=[-1.869588,2.409397], active=1
covariate 14:  name=covariate14, type=float, missing= 19 of 100, average=0.007057, stdev=0.953837, range=[-2.055909,2.805267], active=1
covariate 15:  name=covariate15, type=float, missing= 21 of 100, average=0.111811, stdev=1.006298, range=[-1.849817,2.651226], active=1
covariate 16:  name=covariate16, type=float, missing= 19 of 100, average=-0.140773, stdev=1.072877, range=[-2.879930,1.982676], active=1
covariate 17:  name=covariate17, type=float, missing= 24 of 100, average=-0.214507, stdev=0.906527, range=[-2.159321,2.670045], active=1
covariate 18:  name=covariate18, type=float, missing= 21 of 100, average=0.042378, stdev=0.971866, range=[-2.870873,2.402648], active=1
covariate 19:  name=covariate19, type=float, missing= 18 of 100, average=0.191751, stdev=0.987304, range=[-3.429001,1.902595], active=1
covariate 20:  name=covariate20, type=float, missing= 23 of 100, average=-0.024857, stdev=0.930043, range=[-1.750369,3.336315], active=1
covariate 21:  name=covariate21, type=float, missing= 20 of 100, average=-0.030105, stdev=1.121694, range=[-2.431526,3.768059], active=1
