covariate 1:   type=float, missing=  3 of  50, average=-0.278031, stdev=0.991838, range=[-2.226723,1.737580], active=1
covariate 2:   type=float, missing=  2 of  50, average=0.210714, stdev=0.841351, range=[-1.783129,2.373309], active=1
covariate 3:   type=float, missing=  0 of  50, average=-0.128153, stdev=1.112950, range=[-2.443697,2.657448], active=1
covariate 4:   type=float, missing=  4 of  50, average=-0.183276, stdev=0.946588, range=[-1.710575,2.263492], active=1
covariate 5:   type=float, missing=  4 of  50, average=-0.153848, stdev=0.953367, range=[-2.075885,2.195714], active=1
covariate 6:   type=float, missing=  1 of  50, average=-0.011407, stdev=1.044758, range=[-2.250920,1.965690], active=1
covariate 7:   type=float, missing=  4 of  50, average=0.024518, stdev=0.981477, range=[-1.801125,2.000628], active=1
covariate 8:   type=float, missing=  1 of  50, average=-0.050738, stdev=1.056847, range=[-2.228793,2.225154], active=1
covariate 9:   type=float, missing=  2 of  50, average=-0.028745, stdev=0.926177, range=[-2.531296,2.003171], active=1
covariate 10:  type=float, missing=  3 of  50, average=0.161858, stdev=0.922201, range=[-1.339773,2.779872], active=1
covariate 11:  type=float, missing=  3 of  50, average=0.158869, stdev=0.882721, range=[-2.559312,2.588514], active=1
covariate 12:  type=float, missing=  2 of  50, average=0.108265, stdev=1.059210, range=[-2.586696,3.306127], active=1
covariate 13:  type=float, missing=  1 of  50, average=-0.081031, stdev=1.030564, range=[-2.701006,1.934324], active=1
covariate 14:  type=float, missing=  3 of  50, average=0.102942, stdev=0.985858, range=[-2.000261,2.089875], active=1
covariate 15:  type=float, missing=  3 of  50, average=0.088990, stdev=0.964341, range=[-1.966669,2.282093], active=1
covariate 16:  type=float, missing=  1 of  50, average=0.174252, stdev=0.846385, range=[-1.719424,1.533842], active=1
covariate 17:  type=float, missing=  4 of  50, average=0.152191, stdev=1.039250, range=[-1.934053,2.651258], active=1
covariate 18:  type=float, missing=  3 of  50, average=0.055475, stdev=0.898304, range=[-2.051974,1.432220], active=1
covariate 19:  type=float, missing=  2 of  50, average=-0.016383, stdev=1.054219, range=[-2.613812,2.401077], active=1
covariate 20:  type=float, missing=  3 of  50, average=0.025667, stdev=0.910238, range=[-1.689212,2.415349], active=1
covariate 21:  type=float, missing=  2 of  50, average=-0.023849, stdev=1.005348, range=[-1.980098,2.557989], active=1
covariate 22:  type=float, missing=  1 of  50, average=0.186542, stdev=0.990617, range=[-2.003636,1.955851], active=1
covariate 23:  type=float, missing=  2 of  50, average=0.076464, stdev=0.954191, range=[-2.101029,1.970039], active=1
covariate 24:  type=float, missing=  1 of  50, average=0.096244, stdev=0.941564, range=[-2.090177,2.568433], active=1
covariate 25:  type=float, missing=  0 of  50, average=0.001252, stdev=0.929950, range=[-2.037778,2.039230], active=1
covariate 26:  type=float, missing=  5 of  50, average=-0.101674, stdev=1.045939, range=[-2.568388,2.853059], active=1
covariate 27:  type=float, missing=  3 of  50, average=0.080976, stdev=1.039056, range=[-1.866368,2.069950], active=1
covariate 28:  type=float, missing=  3 of  50, average=0.015011, stdev=0.932156, range=[-2.163295,1.624090], active=1
covariate 29:  type=float, missing=  2 of  50, average=-0.036795, stdev=1.000014, range=[-2.640315,1.974895], active=1
covariate 30:  type=float, missing=  2 of  50, average=0.185979, stdev=0.783840, range=[-1.995301,1.701749], active=1
covariate 31:  type=float, missing=  1 of  50, average=-0.111621, stdev=0.939929, range=[-2.189757,2.855351], active=1
covariate 32:  type=float, missing=  4 of  50, average=0.103688, stdev=1.048260, range=[-1.676160,2.257572], active=1
covariate 33:  type=float, missing=  2 of  50, average=-0.162648, stdev=1.075419, range=[-3.123645,2.752592], active=1
covariate 34:  type=float, missing=  3 of  50, average=0.165027, stdev=1.004054, range=[-2.665159,2.177235], active=1
covariate 35:  type=float, missing=  2 of  50, average=0.196269, stdev=1.046294, range=[-1.539317,2.536220], active=1
covariate 36:  type=float, missing=  4 of  50, average=-0.204872, stdev=1.021555, range=[-1.834794,1.940900], active=1
covariate 37:  type=float, missing=  3 of  50, average=-0.060432, stdev=0.973770, range=[-2.745247,2.363791], active=1
covariate 38:  type=float, missing=  0 of  50, average=-0.162817, stdev=1.035340, range=[-2.092015,1.973543], active=1
covariate 39:  type=float, missing=  5 of  50, average=-0.159971, stdev=0.876396, range=[-1.711992,1.519227], active=1
covariate 40:  type=float, missing=  3 of  50, average=0.257211, stdev=1.147537, range=[-2.469370,2.831241], active=1
covariate 41:  type=float, missing=  3 of  50, average=-0.214412, stdev=1.188062, range=[-3.329512,2.151375], active=1
covariate 42:  type=float, missing=  3 of  50, average=0.227258, stdev=0.948572, range=[-1.473957,2.302599], active=1
covariate 43:  type=float, missing=  2 of  50, average=0.092402, stdev=1.105729, range=[-3.072234,1.992508], active=1
covariate 44:  type=float, missing=  2 of  50, average=0.007804, stdev=0.963755, range=[-1.855999,2.169388], active=1
covariate 45:  type=float, missing=  3 of  50, average=0.128635, stdev=1.008038, range=[-1.848386,2.161072], active=1
covariate 46:  type=float, missing=  1 of  50, average=-0.032530, stdev=0.937843, range=[-2.561636,2.741670], active=1
covariate 47:  type=float, missing=  1 of  50, average=0.126905, stdev=1.050614, range=[-2.415706,2.127042], active=1
covariate 48:  type=float, missing=  1 of  50, average=-0.178758, stdev=0.911008, range=[-2.258143,1.663019], active=1
covariate 49:  type=float, missing=  4 of  50, average=0.150043, stdev=0.901463, range=[-2.237708,1.864945], active=1
covariate 50:  type=float, missing=  2 of  50, average=0.087676, stdev=1.228238, range=[-2.443087,2.953876], active=1
covariate 51:  type=float, missing=  1 of  50, average=-0.214419, stdev=0.795172, range=[-2.001338,1.338451], active=1
covariate 52:  type=float, missing=  4 of  50, average=-0.105412, stdev=0.799577, range=[-2.215098,1.276128], active=1
covariate 53:  type=float, missing=  4 of  50, average=-0.082295, stdev=0.835437, range=[-2.078393,1.615728], active=1
covariate 54:  type=float, missing=  1 of  50, average=0.035345, stdev=0.989446, range=[-2.517797,2.424869], active=1
covariate 55:  type=float, missing=  1 of  50, average=-0.049454, stdev=0.911584, range=[-1.947316,1.935595], active=1
covariate 56:  type=float, missing=  1 of  50, average=0.159265, stdev=0.940995, range=[-1.883974,2.679773], active=1
covariate 57:  type=float, missing=  0 of  50, average=0.043373, stdev=0.951227, range=[-1.743324,2.438578], active=1
covariate 58:  type=float, missing=  2 of  50, average=-0.027760, stdev=0.900118, range=[-2.486051,2.182630], active=1
covariate 59:  type=float, missing=  1 of  50, average=-0.000716, stdev=1.074796, range=[-2.328554,3.044811], active=1
covariate 60:  type=float, missing=  6 of  50, average=0.099257, stdev=1.018715, range=[-1.723838,2.832104], active=1
covariate 61:  type=float, missing=  3 of  50, average=0.034999, stdev=0.891419, range=[-2.075298,1.718928], active=1
covariate 62:  type=float, missing=  3 of  50, average=0.218053, stdev=1.029472, range=[-2.177568,2.712742], active=1
covariate 63:  type=float, missing=  4 of  50, average=-0.289926, stdev=0.942211, range=[-2.387450,1.667860], active=1
covariate 64:  type=float, missing=  4 of  50, average=0.223070, stdev=0.869779, range=[-1.978296,2.500711], active=1
covariate 65:  type=float, missing=  3 of  50, average=-0.066145, stdev=1.210999, range=[-3.644806,2.530305], active=1
covariate 66:  type=float, missing=  4 of  50, average=-0.031077, stdev=1.224857, range=[-2.182048,3.386106], active=1
