covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=-0.162126, stdev=0.979386, range=[-1.853193,2.273824], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=-0.068404, stdev=0.976940, range=[-2.845246,2.172086], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=0.203891, stdev=0.916217, range=[-1.847815,2.761026], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=-0.225378, stdev=0.873972, range=[-2.529837,1.886407], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=0.056955, stdev=0.989483, range=[-2.652092,2.365823], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=-0.030371, stdev=1.069646, range=[-2.517835,2.584658], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=-0.012798, stdev=0.974995, range=[-2.236856,2.766802], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=0.009893, stdev=1.138156, range=[-3.186633,2.977700], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=-0.078234, stdev=0.921604, range=[-2.537550,2.320584], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=-0.010732, stdev=1.078086, range=[-2.722108,2.936547], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=-0.094044, stdev=1.017147, range=[-2.637369,2.350696], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=0.079427, stdev=0.928266, range=[-2.430941,2.655686], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=0.043470, stdev=0.914045, range=[-2.131853,2.489922], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=-0.146695, stdev=0.936484, range=[-2.651335,2.109847], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=-0.117515, stdev=0.911098, range=[-2.519142,2.093040], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.104410, stdev=1.075426, range=[-2.155040,2.459917], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=0.024217, stdev=1.019206, range=[-1.957736,3.251575], active=1
