covariate 1:   name=covariate1, type=float, missing=  3 of  50, average=0.080417, stdev=0.999028, range=[-1.770741,2.940229], active=1
covariate 2:   name=covariate2, type=float, missing=  4 of  50, average=0.118904, stdev=1.102013, range=[-1.919410,2.504185], active=1
covariate 3:   name=covariate3, type=float, missing=  3 of  50, average=-0.150297, stdev=1.044696, range=[-1.983014,2.434491], active=1
covariate 4:   name=covariate4, type=float, missing=  1 of  50, average=-0.112496, stdev=1.143350, range=[-2.187740,2.815599], active=1
covariate 5:   name=covariate5, type=float, missing=  5 of  50, average=0.263655, stdev=0.817343, range=[-1.311825,2.382511], active=1
covariate 6:   name=covariate6, type=float, missing=  3 of  50, average=0.035078, stdev=1.152617, range=[-2.049543,3.045380], active=1
covariate 7:   name=covariate7, type=float, missing=  4 of  50, average=-0.042611, stdev=0.842559, range=[-1.808112,2.752028], active=1
covariate 8:   name=covariate8, type=float, missing=  3 of  50, average=-0.273545, stdev=1.024116, range=[-2.419768,1.952920], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=0.004947, stdev=1.080086, range=[-2.546540,2.315133], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of  50, average=0.059082, stdev=1.049531, range=[-2.005747,3.057711], active=1
covariate 11:  name=covariate11, type=float, missing=  2 of  50, average=0.175233, stdev=0.943886, range=[-1.820243,2.305391], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  50, average=0.007637, stdev=1.230824, range=[-2.176347,3.220785], active=1
covariate 13:  name=covariate13, type=float, missing=  3 of  50, average=-0.266377, stdev=0.921952, range=[-2.244979,1.488245], active=1
covariate 14:  name=covariate14, type=float, missing=  3 of  50, average=0.083111, stdev=1.106057, range=[-2.639682,2.483121], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of  50, average=-0.059241, stdev=0.995923, range=[-2.336440,2.601623], active=1
covariate 16:  name=covariate16, type=float, missing=  1 of  50, average=-0.038622, stdev=1.016582, range=[-2.531140,2.175282], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of  50, average=0.017961, stdev=0.861321, range=[-1.854515,1.637563], active=1
covariate 18:  name=covariate18, type=float, missing=  1 of  50, average=0.216607, stdev=0.851825, range=[-1.453613,2.483046], active=1
covariate 19:  name=covariate19, type=float, missing=  1 of  50, average=-0.060277, stdev=0.904575, range=[-2.032168,2.062168], active=1
covariate 20:  name=covariate20, type=float, missing=  3 of  50, average=-0.135328, stdev=0.931292, range=[-2.556627,1.798650], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  50, average=0.200131, stdev=1.124098, range=[-2.439543,2.234088], active=1
covariate 22:  name=covariate22, type=float, missing=  1 of  50, average=0.112613, stdev=0.915780, range=[-1.519178,2.026462], active=1
covariate 23:  name=covariate23, type=float, missing=  2 of  50, average=-0.096098, stdev=0.858884, range=[-1.734424,1.661346], active=1
covariate 24:  name=covariate24, type=float, missing=  2 of  50, average=0.018924, stdev=1.037242, range=[-2.211776,1.968753], active=1
covariate 25:  name=covariate25, type=float, missing=  6 of  50, average=-0.148968, stdev=1.176761, range=[-3.273226,2.676033], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=0.124007, stdev=1.037290, range=[-2.249814,2.470426], active=1
covariate 27:  name=covariate27, type=float, missing=  2 of  50, average=0.276503, stdev=1.097267, range=[-1.965938,2.496961], active=1
covariate 28:  name=covariate28, type=float, missing=  5 of  50, average=-0.154141, stdev=1.051439, range=[-2.007348,2.324291], active=1
covariate 29:  name=covariate29, type=float, missing=  1 of  50, average=0.064411, stdev=1.052898, range=[-2.292639,2.212176], active=1
covariate 30:  name=covariate30, type=float, missing=  1 of  50, average=0.196920, stdev=0.944230, range=[-1.725075,2.457386], active=1
covariate 31:  name=covariate31, type=float, missing=  1 of  50, average=0.229028, stdev=1.052274, range=[-2.316906,2.404920], active=1
covariate 32:  name=covariate32, type=float, missing=  1 of  50, average=-0.034286, stdev=0.988007, range=[-1.865446,1.838300], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of  50, average=-0.016626, stdev=0.939108, range=[-2.216539,1.983557], active=1
covariate 34:  name=covariate34, type=float, missing=  4 of  50, average=-0.024369, stdev=1.013663, range=[-2.047722,1.913234], active=1
covariate 35:  name=covariate35, type=float, missing=  3 of  50, average=-0.060840, stdev=0.919396, range=[-1.741546,2.205438], active=1
covariate 36:  name=covariate36, type=float, missing=  8 of  50, average=0.048279, stdev=0.851146, range=[-1.797759,1.926438], active=1
covariate 37:  name=covariate37, type=float, missing=  4 of  50, average=-0.110253, stdev=0.876964, range=[-1.767378,2.100248], active=1
covariate 38:  name=covariate38, type=float, missing=  3 of  50, average=-0.077101, stdev=1.061326, range=[-2.277085,2.181871], active=1
covariate 39:  name=covariate39, type=float, missing=  5 of  50, average=-0.177537, stdev=1.139988, range=[-2.618571,3.368328], active=1
