active=100: F_T=0.976700, F_V=0.476500
active=99: F_T=0.976300, F_V=0.483500
active=98: F_T=0.976700, F_V=0.485800
active=97: F_T=0.975800, F_V=0.487800
active=96: F_T=0.977300, F_V=0.486600
active=95: F_T=0.974900, F_V=0.494900
active=94: F_T=0.972700, F_V=0.491900
active=93: F_T=0.975000, F_V=0.493200
active=92: F_T=0.973200, F_V=0.489400
active=91: F_T=0.973200, F_V=0.494800
active=90: F_T=0.974800, F_V=0.494400
active=89: F_T=0.972000, F_V=0.498400
active=88: F_T=0.972300, F_V=0.501500
active=87: F_T=0.971400, F_V=0.504200
active=86: F_T=0.970700, F_V=0.507400
active=85: F_T=0.969500, F_V=0.504900
active=84: F_T=0.970800, F_V=0.513000
active=83: F_T=0.967000, F_V=0.519100
active=82: F_T=0.969600, F_V=0.508500
active=81: F_T=0.967600, F_V=0.515600
active=80: F_T=0.963800, F_V=0.520900
active=79: F_T=0.965000, F_V=0.519100
active=78: F_T=0.962200, F_V=0.527800
active=77: F_T=0.962500, F_V=0.529800
active=76: F_T=0.963400, F_V=0.522500
active=75: F_T=0.961800, F_V=0.530100
active=74: F_T=0.962700, F_V=0.536200
active=73: F_T=0.958600, F_V=0.534000
active=72: F_T=0.957400, F_V=0.553800
active=71: F_T=0.958400, F_V=0.535700
active=70: F_T=0.955700, F_V=0.549000
active=69: F_T=0.955100, F_V=0.534500
active=68: F_T=0.950400, F_V=0.545900
active=67: F_T=0.949000, F_V=0.551800
active=66: F_T=0.944400, F_V=0.554200
active=65: F_T=0.943700, F_V=0.556100
active=64: F_T=0.942100, F_V=0.561500
active=63: F_T=0.940700, F_V=0.565200
active=62: F_T=0.939400, F_V=0.557600
active=61: F_T=0.939700, F_V=0.566600
active=60: F_T=0.935200, F_V=0.566900
active=59: F_T=0.931300, F_V=0.573800
active=58: F_T=0.928400, F_V=0.571400
active=57: F_T=0.926000, F_V=0.570800
active=56: F_T=0.926800, F_V=0.568400
active=55: F_T=0.924400, F_V=0.565000
active=54: F_T=0.916500, F_V=0.579000
active=53: F_T=0.912100, F_V=0.576500
active=52: F_T=0.906800, F_V=0.571700
active=51: F_T=0.902200, F_V=0.589700
active=50: F_T=0.898700, F_V=0.590500
active=49: F_T=0.893400, F_V=0.587700
active=48: F_T=0.890500, F_V=0.577100
active=47: F_T=0.892200, F_V=0.578900
active=46: F_T=0.878800, F_V=0.601100
active=45: F_T=0.881600, F_V=0.592700
active=44: F_T=0.881200, F_V=0.588800
active=43: F_T=0.880800, F_V=0.597700
active=42: F_T=0.875300, F_V=0.586500
active=41: F_T=0.872500, F_V=0.591000
active=40: F_T=0.861700, F_V=0.595600
active=39: F_T=0.860700, F_V=0.586900
active=38: F_T=0.853300, F_V=0.604200
active=37: F_T=0.855300, F_V=0.603500
active=36: F_T=0.848700, F_V=0.604600
active=35: F_T=0.843500, F_V=0.613800
active=34: F_T=0.846200, F_V=0.618500
active=33: F_T=0.838300, F_V=0.608400
active=32: F_T=0.837000, F_V=0.630000
active=31: F_T=0.836700, F_V=0.618800
active=30: F_T=0.837400, F_V=0.624000
active=29: F_T=0.832600, F_V=0.642000
active=28: F_T=0.828700, F_V=0.638200
active=27: F_T=0.810400, F_V=0.632000
active=26: F_T=0.805600, F_V=0.635800
active=25: F_T=0.810000, F_V=0.639100
active=24: F_T=0.800100, F_V=0.639400
active=23: F_T=0.790900, F_V=0.635900
active=22: F_T=0.789400, F_V=0.632300
active=21: F_T=0.776400, F_V=0.636000
active=20: F_T=0.775500, F_V=0.618000
active=19: F_T=0.761200, F_V=0.633600
active=18: F_T=0.752800, F_V=0.632200
active=17: F_T=0.730000, F_V=0.613100
active=16: F_T=0.727500, F_V=0.608100
active=15: F_T=0.725300, F_V=0.600500
active=14: F_T=0.718600, F_V=0.606900
active=13: F_T=0.706200, F_V=0.614100
active=12: F_T=0.692600, F_V=0.602400
active=11: F_T=0.692800, F_V=0.603200
active=10: F_T=0.671900, F_V=0.601800
active=9: F_T=0.670800, F_V=0.605000
active=8: F_T=0.678900, F_V=0.606300
active=7: F_T=0.678200, F_V=0.607700
active=6: F_T=0.683800, F_V=0.633100
active=5: F_T=0.654400, F_V=0.612500
active=4: F_T=0.642800, F_V=0.608400
active=3: F_T=0.602000, F_V=0.577800
active=2: F_T=0.530700, F_V=0.500600
active=1: F_T=0.545100, F_V=0.530900
active=0: F_T=0.500000, F_V=0.500000
