covariate 1:   name=covariate1, type=float, missing=  1 of  10, average=0.136187, stdev=1.257659, range=[-1.912687,2.406712], active=1
covariate 2:   name=covariate2, type=float, missing=  1 of  10, average=0.769931, stdev=1.202660, range=[-2.106286,2.027398], active=1
covariate 3:   name=covariate3, type=float, missing=  1 of  10, average=-0.256996, stdev=0.738913, range=[-1.095691,0.828822], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  10, average=-0.101234, stdev=0.797344, range=[-1.879311,1.081697], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of  10, average=-0.466157, stdev=0.977357, range=[-2.040164,0.752548], active=1
covariate 6:   name=covariate6, type=float, missing=  2 of  10, average=0.362582, stdev=0.656742, range=[-0.489825,1.772576], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=0.439171, stdev=1.367441, range=[-3.170059,2.493590], active=1
covariate 8:   name=covariate8, type=float, missing=  1 of  10, average=0.041170, stdev=0.851635, range=[-0.986903,1.792297], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of  10, average=-0.188293, stdev=1.270215, range=[-2.720403,2.396575], active=1
covariate 10:  name=covariate10, type=float, missing=  1 of  10, average=-0.425835, stdev=0.864243, range=[-1.785873,0.884328], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  10, average=0.105998, stdev=1.007392, range=[-1.043275,2.533873], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  10, average=0.822976, stdev=0.514943, range=[0.136967,1.763109], active=1
covariate 13:  name=covariate13, type=float, missing=  1 of  10, average=-0.166668, stdev=1.023399, range=[-1.728999,1.051150], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of  10, average=0.752059, stdev=0.937245, range=[-0.163359,2.932439], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  10, average=0.200665, stdev=0.600136, range=[-0.935796,1.230772], active=1
covariate 16:  name=covariate16, type=float, missing=  1 of  10, average=-0.342164, stdev=0.897481, range=[-2.224059,0.789013], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  10, average=-0.311182, stdev=0.600614, range=[-1.261504,0.968930], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  10, average=-0.002310, stdev=1.018648, range=[-1.402460,1.871102], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  10, average=-0.251942, stdev=0.935515, range=[-1.716710,1.284019], active=1
covariate 20:  name=covariate20, type=float, missing=  1 of  10, average=-0.715532, stdev=0.963404, range=[-2.127564,0.686451], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of  10, average=0.063835, stdev=1.120543, range=[-1.951841,1.838820], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of  10, average=-0.162377, stdev=0.530210, range=[-1.267741,0.584650], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  10, average=0.106115, stdev=0.969617, range=[-1.746140,1.481099], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  10, average=0.325117, stdev=0.940560, range=[-1.878464,1.189438], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of  10, average=-0.244883, stdev=0.594258, range=[-1.083378,0.983122], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  10, average=0.564591, stdev=0.707578, range=[-0.707713,1.461909], active=1
covariate 27:  name=covariate27, type=float, missing=  1 of  10, average=-0.254080, stdev=0.899415, range=[-1.334059,1.358225], active=1
