covariate 1:   type=float, missing=  1 of  50, average=-0.029079, stdev=0.809941, range=[-2.098483,1.924754], active=1
covariate 2:   type=float, missing=  2 of  50, average=0.062922, stdev=1.241674, range=[-2.691395,2.350720], active=1
covariate 3:   type=float, missing=  2 of  50, average=0.119063, stdev=0.991470, range=[-1.860125,2.534878], active=1
covariate 4:   type=float, missing=  1 of  50, average=-0.222440, stdev=0.651759, range=[-1.744555,1.456945], active=1
covariate 5:   type=float, missing=  5 of  50, average=-0.293204, stdev=0.929736, range=[-2.205647,1.656158], active=1
covariate 6:   type=float, missing=  1 of  50, average=-0.113830, stdev=1.188087, range=[-2.861608,2.136326], active=1
covariate 7:   type=float, missing=  2 of  50, average=-0.101693, stdev=1.108410, range=[-1.868215,2.154253], active=1
covariate 8:   type=float, missing=  1 of  50, average=-0.159704, stdev=1.193301, range=[-2.802954,2.691016], active=1
covariate 9:   type=float, missing=  0 of  50, average=0.137047, stdev=0.982481, range=[-1.921094,2.571887], active=1
covariate 10:  type=float, missing=  1 of  50, average=-0.089399, stdev=0.836477, range=[-1.957452,1.390550], active=1
covariate 11:  type=float, missing=  2 of  50, average=-0.092725, stdev=1.004089, range=[-2.568687,2.482897], active=1
covariate 12:  type=float, missing=  4 of  50, average=0.134451, stdev=0.960881, range=[-2.189983,2.788803], active=1
covariate 13:  type=float, missing=  2 of  50, average=-0.076513, stdev=0.952266, range=[-1.938654,1.812432], active=1
covariate 14:  type=float, missing=  3 of  50, average=-0.044212, stdev=0.986679, range=[-2.033840,1.924183], active=1
covariate 15:  type=float, missing=  0 of  50, average=0.192226, stdev=0.952639, range=[-1.951175,2.256087], active=1
covariate 16:  type=float, missing=  5 of  50, average=-0.093724, stdev=0.916562, range=[-2.048186,2.193814], active=1
covariate 17:  type=float, missing=  3 of  50, average=-0.289596, stdev=1.240548, range=[-3.257304,2.226018], active=1
covariate 18:  type=float, missing=  4 of  50, average=0.112171, stdev=0.884157, range=[-1.636216,2.182766], active=1
covariate 19:  type=float, missing=  3 of  50, average=0.055820, stdev=1.051778, range=[-2.436610,2.808036], active=1
covariate 20:  type=float, missing=  2 of  50, average=0.129026, stdev=1.113314, range=[-2.553779,2.330374], active=1
covariate 21:  type=float, missing=  3 of  50, average=-0.200948, stdev=0.997808, range=[-2.145402,2.342279], active=1
covariate 22:  type=float, missing=  5 of  50, average=-0.038684, stdev=1.057139, range=[-2.916128,2.649707], active=1
covariate 23:  type=float, missing=  1 of  50, average=-0.156650, stdev=1.041462, range=[-3.783064,1.687470], active=1
covariate 24:  type=float, missing=  5 of  50, average=-0.410937, stdev=1.047753, range=[-2.590532,2.111703], active=1
covariate 25:  type=float, missing=  7 of  50, average=-0.166701, stdev=0.973191, range=[-2.347418,2.195721], active=1
covariate 26:  type=float, missing=  5 of  50, average=-0.048960, stdev=0.907706, range=[-2.067860,1.506483], active=1
covariate 27:  type=float, missing=  2 of  50, average=-0.196021, stdev=1.063599, range=[-2.835551,1.658290], active=1
covariate 28:  type=float, missing=  2 of  50, average=0.057228, stdev=1.074056, range=[-2.259197,1.861618], active=1
covariate 29:  type=float, missing=  2 of  50, average=0.068241, stdev=0.963665, range=[-1.786396,1.857940], active=1
covariate 30:  type=float, missing=  1 of  50, average=-0.076124, stdev=1.010761, range=[-1.808543,3.450017], active=1
covariate 31:  type=float, missing=  5 of  50, average=-0.195121, stdev=0.862643, range=[-2.387270,1.542849], active=1
covariate 32:  type=float, missing=  1 of  50, average=0.006632, stdev=1.011261, range=[-1.861319,1.979514], active=1
covariate 33:  type=float, missing=  2 of  50, average=0.050079, stdev=1.063479, range=[-2.455536,2.553157], active=1
covariate 34:  type=float, missing=  2 of  50, average=0.089687, stdev=0.913871, range=[-2.310321,2.707479], active=1
covariate 35:  type=float, missing=  3 of  50, average=0.024557, stdev=0.923420, range=[-2.770169,1.698265], active=1
covariate 36:  type=float, missing=  5 of  50, average=0.009695, stdev=1.002305, range=[-1.808783,2.424302], active=1
covariate 37:  type=float, missing=  1 of  50, average=0.133283, stdev=0.984711, range=[-1.970519,2.195704], active=1
covariate 38:  type=float, missing=  1 of  50, average=0.134444, stdev=0.888341, range=[-1.731041,1.989218], active=1
covariate 39:  type=float, missing=  6 of  50, average=0.096224, stdev=1.044515, range=[-2.543045,2.331069], active=1
covariate 40:  type=float, missing=  1 of  50, average=-0.065032, stdev=0.867772, range=[-2.045454,2.398964], active=1
covariate 41:  type=float, missing=  3 of  50, average=-0.114673, stdev=1.038923, range=[-2.121476,2.096730], active=1
covariate 42:  type=float, missing=  4 of  50, average=0.150967, stdev=0.970521, range=[-2.538468,3.031095], active=1
covariate 43:  type=float, missing=  3 of  50, average=-0.201607, stdev=1.308458, range=[-2.617575,2.791308], active=1
covariate 44:  type=float, missing=  0 of  50, average=0.086842, stdev=0.922269, range=[-2.127000,2.268951], active=1
covariate 45:  type=float, missing=  1 of  50, average=-0.065600, stdev=0.949251, range=[-2.067307,2.347043], active=1
covariate 46:  type=float, missing=  2 of  50, average=0.128098, stdev=0.955227, range=[-2.742845,1.649304], active=1
covariate 47:  type=float, missing=  2 of  50, average=0.023093, stdev=1.011272, range=[-2.210558,2.938534], active=1
covariate 48:  type=float, missing=  3 of  50, average=0.058084, stdev=0.994130, range=[-2.334061,2.944504], active=1
covariate 49:  type=float, missing=  2 of  50, average=0.042434, stdev=0.992958, range=[-2.094009,2.294947], active=1
covariate 50:  type=float, missing=  2 of  50, average=-0.006811, stdev=1.119092, range=[-3.875999,1.380555], active=1
covariate 51:  type=float, missing=  3 of  50, average=-0.293537, stdev=0.904177, range=[-2.179271,1.198102], active=1
covariate 52:  type=float, missing=  1 of  50, average=-0.141228, stdev=0.968918, range=[-1.773232,1.734586], active=1
covariate 53:  type=float, missing=  1 of  50, average=0.109410, stdev=0.885391, range=[-1.870304,2.155241], active=1
covariate 54:  type=float, missing=  0 of  50, average=0.219483, stdev=0.987533, range=[-1.484952,2.596228], active=1
covariate 55:  type=float, missing=  2 of  50, average=-0.139229, stdev=1.088897, range=[-2.106403,2.545267], active=1
covariate 56:  type=float, missing=  1 of  50, average=0.005791, stdev=1.196537, range=[-3.228686,2.846575], active=1
covariate 57:  type=float, missing=  1 of  50, average=0.138858, stdev=0.833650, range=[-2.130726,1.994135], active=1
covariate 58:  type=float, missing=  3 of  50, average=-0.038340, stdev=0.863496, range=[-2.129753,1.919671], active=1
covariate 59:  type=float, missing=  2 of  50, average=-0.197294, stdev=0.817624, range=[-1.966158,1.447067], active=1
covariate 60:  type=float, missing=  3 of  50, average=0.020180, stdev=0.992174, range=[-2.604639,2.251231], active=1
covariate 61:  type=float, missing=  2 of  50, average=-0.238032, stdev=0.889790, range=[-1.539377,1.876880], active=1
covariate 62:  type=float, missing=  0 of  50, average=0.067529, stdev=0.845896, range=[-1.702152,1.959250], active=1
covariate 63:  type=float, missing=  3 of  50, average=-0.000492, stdev=0.841537, range=[-1.630727,2.308586], active=1
covariate 64:  type=float, missing=  2 of  50, average=-0.168145, stdev=0.863364, range=[-2.042234,1.666484], active=1
covariate 65:  type=float, missing=  2 of  50, average=0.015947, stdev=1.139177, range=[-2.233323,2.946522], active=1
covariate 66:  type=float, missing=  3 of  50, average=-0.046241, stdev=1.035668, range=[-1.605417,3.103088], active=1
covariate 67:  type=float, missing=  1 of  50, average=0.206705, stdev=0.820793, range=[-1.598140,1.741829], active=1
covariate 68:  type=float, missing=  3 of  50, average=0.203721, stdev=0.840466, range=[-2.426677,1.821862], active=1
covariate 69:  type=float, missing=  1 of  50, average=-0.039589, stdev=1.032230, range=[-1.999494,2.388227], active=1
covariate 70:  type=float, missing=  3 of  50, average=-0.057697, stdev=0.819010, range=[-2.159397,1.771939], active=1
covariate 71:  type=float, missing=  2 of  50, average=0.059813, stdev=0.960255, range=[-2.104389,2.626248], active=1
covariate 72:  type=float, missing=  2 of  50, average=0.144824, stdev=0.888043, range=[-1.826625,2.862889], active=1
covariate 73:  type=float, missing=  2 of  50, average=-0.059969, stdev=1.057787, range=[-2.227253,2.042302], active=1
covariate 74:  type=float, missing=  3 of  50, average=0.190291, stdev=0.955173, range=[-2.090628,2.028007], active=1
covariate 75:  type=float, missing=  3 of  50, average=-0.094231, stdev=1.123393, range=[-2.448433,2.028222], active=1
covariate 76:  type=float, missing=  1 of  50, average=0.115173, stdev=0.976341, range=[-1.861524,1.904189], active=1
covariate 77:  type=float, missing=  4 of  50, average=0.157102, stdev=0.879256, range=[-1.484663,2.279474], active=1
covariate 78:  type=float, missing=  1 of  50, average=-0.006965, stdev=0.904600, range=[-1.902056,1.808000], active=1
covariate 79:  type=float, missing=  2 of  50, average=-0.012263, stdev=0.914624, range=[-1.747780,1.769460], active=1
covariate 80:  type=float, missing=  2 of  50, average=0.079260, stdev=0.833997, range=[-1.337604,2.088413], active=1
covariate 81:  type=float, missing=  3 of  50, average=0.135207, stdev=0.878394, range=[-1.565497,2.182957], active=1
covariate 82:  type=float, missing=  2 of  50, average=0.169504, stdev=1.050500, range=[-1.774981,2.511194], active=1
covariate 83:  type=float, missing=  2 of  50, average=-0.026522, stdev=1.078591, range=[-2.262353,2.901518], active=1
covariate 84:  type=float, missing=  0 of  50, average=0.094005, stdev=0.952287, range=[-2.610194,2.091867], active=1
covariate 85:  type=float, missing=  3 of  50, average=0.048094, stdev=1.102818, range=[-2.097021,2.795436], active=1
covariate 86:  type=float, missing=  3 of  50, average=-0.224801, stdev=1.096236, range=[-2.663081,2.310123], active=1
covariate 87:  type=float, missing=  5 of  50, average=-0.013818, stdev=1.070066, range=[-2.051042,2.315433], active=1
covariate 88:  type=float, missing=  0 of  50, average=-0.175497, stdev=0.945011, range=[-2.726526,1.477849], active=1
covariate 89:  type=float, missing=  2 of  50, average=0.227844, stdev=0.991250, range=[-2.328209,2.903284], active=1
covariate 90:  type=float, missing=  2 of  50, average=0.034126, stdev=1.190451, range=[-3.528991,2.386995], active=1
covariate 91:  type=float, missing=  0 of  50, average=-0.130626, stdev=1.071289, range=[-2.302982,2.239399], active=1
covariate 92:  type=float, missing=  5 of  50, average=-0.257650, stdev=0.994571, range=[-2.587273,1.493562], active=1
covariate 93:  type=float, missing=  7 of  50, average=-0.161670, stdev=1.246072, range=[-3.609573,2.455415], active=1
covariate 94:  type=float, missing=  4 of  50, average=-0.153431, stdev=0.839515, range=[-2.262573,2.247081], active=1
covariate 95:  type=float, missing=  1 of  50, average=0.136224, stdev=1.094175, range=[-2.145640,2.712512], active=1
covariate 96:  type=float, missing=  2 of  50, average=-0.064191, stdev=0.993754, range=[-2.500056,2.097433], active=1
covariate 97:  type=float, missing=  2 of  50, average=-0.064589, stdev=0.966469, range=[-2.134684,2.604746], active=1
covariate 98:  type=float, missing=  1 of  50, average=0.098974, stdev=1.123200, range=[-2.540575,3.016982], active=1
covariate 99:  type=float, missing=  1 of  50, average=0.094707, stdev=1.003430, range=[-2.504446,2.463029], active=1
