active=80: F_T=1.000000, F_V=0.517200
active=79: F_T=1.000000, F_V=0.515200
active=78: F_T=1.000000, F_V=0.525400
active=77: F_T=1.000000, F_V=0.529400
active=76: F_T=1.000000, F_V=0.525400
active=75: F_T=1.000000, F_V=0.539800
active=74: F_T=1.000000, F_V=0.549600
active=73: F_T=0.999800, F_V=0.553600
active=72: F_T=1.000000, F_V=0.539800
active=71: F_T=1.000000, F_V=0.550000
active=70: F_T=1.000000, F_V=0.552800
active=69: F_T=1.000000, F_V=0.561400
active=68: F_T=0.999800, F_V=0.546600
active=67: F_T=0.999400, F_V=0.565000
active=66: F_T=0.999400, F_V=0.580200
active=65: F_T=0.999600, F_V=0.571800
active=64: F_T=0.999200, F_V=0.589200
active=63: F_T=0.998800, F_V=0.585200
active=62: F_T=0.999600, F_V=0.588800
active=61: F_T=0.999200, F_V=0.583800
active=60: F_T=0.999000, F_V=0.589400
active=59: F_T=0.997200, F_V=0.589200
active=58: F_T=0.996200, F_V=0.608200
active=57: F_T=0.996600, F_V=0.599000
active=56: F_T=0.996000, F_V=0.610200
active=55: F_T=0.994800, F_V=0.610200
active=54: F_T=0.993800, F_V=0.616400
active=53: F_T=0.994800, F_V=0.608800
active=52: F_T=0.993600, F_V=0.607800
active=51: F_T=0.991000, F_V=0.625800
active=50: F_T=0.991000, F_V=0.624000
active=49: F_T=0.988000, F_V=0.625000
active=48: F_T=0.992200, F_V=0.638000
active=47: F_T=0.992400, F_V=0.639400
active=46: F_T=0.992000, F_V=0.639000
active=45: F_T=0.990800, F_V=0.652200
active=44: F_T=0.990600, F_V=0.649000
active=43: F_T=0.990800, F_V=0.646000
active=42: F_T=0.991000, F_V=0.656800
active=41: F_T=0.987600, F_V=0.665800
active=40: F_T=0.991400, F_V=0.663600
active=39: F_T=0.988800, F_V=0.688800
active=38: F_T=0.988200, F_V=0.680600
active=37: F_T=0.986800, F_V=0.686400
active=36: F_T=0.986000, F_V=0.697200
active=35: F_T=0.985400, F_V=0.697400
active=34: F_T=0.979800, F_V=0.690600
active=33: F_T=0.978600, F_V=0.714600
active=32: F_T=0.979800, F_V=0.707800
active=31: F_T=0.978200, F_V=0.715000
active=30: F_T=0.978600, F_V=0.714400
active=29: F_T=0.969600, F_V=0.724600
active=28: F_T=0.969000, F_V=0.716200
active=27: F_T=0.968800, F_V=0.719800
active=26: F_T=0.970200, F_V=0.725800
active=25: F_T=0.963200, F_V=0.725800
active=24: F_T=0.966200, F_V=0.734400
active=23: F_T=0.959400, F_V=0.729600
active=22: F_T=0.961200, F_V=0.742800
active=21: F_T=0.961400, F_V=0.757200
active=20: F_T=0.954000, F_V=0.762400
active=19: F_T=0.952800, F_V=0.766000
active=18: F_T=0.947400, F_V=0.761600
active=17: F_T=0.936200, F_V=0.766400
active=16: F_T=0.921200, F_V=0.772200
active=15: F_T=0.909600, F_V=0.777000
active=14: F_T=0.892800, F_V=0.757000
active=13: F_T=0.863600, F_V=0.716400
active=12: F_T=0.861400, F_V=0.712200
active=11: F_T=0.832400, F_V=0.705400
active=10: F_T=0.813000, F_V=0.710000
active=9: F_T=0.809000, F_V=0.672600
active=8: F_T=0.774400, F_V=0.663000
active=7: F_T=0.762600, F_V=0.666600
active=6: F_T=0.766400, F_V=0.678200
active=5: F_T=0.736400, F_V=0.661400
active=4: F_T=0.714000, F_V=0.665600
active=3: F_T=0.660600, F_V=0.599400
active=2: F_T=0.617200, F_V=0.588600
active=1: F_T=0.625600, F_V=0.592800
active=0: F_T=0.520000, F_V=0.480000
