covariate 1:   name=covariate1, type=float, missing=  9 of 100, average=0.083746, stdev=1.092122, range=[-3.087231,2.938682], active=1
covariate 2:   name=covariate2, type=float, missing=  7 of 100, average=0.059861, stdev=0.941230, range=[-1.854927,2.469410], active=1
covariate 3:   name=covariate3, type=float, missing=  8 of 100, average=0.184583, stdev=1.067049, range=[-2.306686,2.690633], active=1
covariate 4:   name=covariate4, type=float, missing=  6 of 100, average=-0.115578, stdev=1.075455, range=[-2.332978,2.685690], active=1
covariate 5:   name=covariate5, type=float, missing=  6 of 100, average=0.137429, stdev=1.013892, range=[-2.596684,2.659842], active=1
covariate 6:   name=covariate6, type=float, missing=  2 of 100, average=-0.161949, stdev=0.979345, range=[-2.163653,2.513892], active=1
covariate 7:   name=covariate7, type=float, missing=  5 of 100, average=0.054974, stdev=0.930305, range=[-2.270655,2.319158], active=1
covariate 8:   name=covariate8, type=float, missing=  7 of 100, average=-0.052503, stdev=1.003966, range=[-2.306095,2.791595], active=1
covariate 9:   name=covariate9, type=float, missing=  5 of 100, average=-0.098684, stdev=0.942836, range=[-2.344701,2.329791], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of 100, average=-0.004711, stdev=1.035640, range=[-3.072451,2.652666], active=1
covariate 11:  name=covariate11, type=float, missing=  3 of 100, average=-0.073754, stdev=0.894781, range=[-2.115429,2.068435], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of 100, average=-0.114613, stdev=0.959595, range=[-2.639864,2.923664], active=1
covariate 13:  name=covariate13, type=float, missing=  4 of 100, average=-0.115277, stdev=0.889475, range=[-2.202246,2.994940], active=1
covariate 14:  name=covariate14, type=float, missing=  5 of 100, average=-0.016069, stdev=1.029137, range=[-2.462640,2.921786], active=1
covariate 15:  name=covariate15, type=float, missing=  9 of 100, average=-0.172527, stdev=1.143475, range=[-3.648355,2.152184], active=1
covariate 16:  name=covariate16, type=float, missing=  5 of 100, average=-0.002479, stdev=0.864386, range=[-2.277933,2.070870], active=1
covariate 17:  name=covariate17, type=float, missing=  7 of 100, average=0.066390, stdev=0.904469, range=[-2.117754,1.923716], active=1
covariate 18:  name=covariate18, type=float, missing=  5 of 100, average=0.007078, stdev=0.988692, range=[-2.081850,1.937926], active=1
covariate 19:  name=covariate19, type=float, missing=  7 of 100, average=-0.040904, stdev=1.017701, range=[-2.228584,2.978509], active=1
covariate 20:  name=covariate20, type=float, missing=  5 of 100, average=-0.003023, stdev=0.948445, range=[-2.360216,2.449811], active=1
covariate 21:  name=covariate21, type=float, missing=  5 of 100, average=0.045663, stdev=0.923329, range=[-2.009891,2.192552], active=1
covariate 22:  name=covariate22, type=float, missing=  3 of 100, average=0.164466, stdev=0.892215, range=[-2.349593,2.175939], active=1
covariate 23:  name=covariate23, type=float, missing=  7 of 100, average=0.128578, stdev=1.248581, range=[-2.689584,3.225180], active=1
covariate 24:  name=covariate24, type=float, missing=  8 of 100, average=-0.050698, stdev=0.930698, range=[-2.397142,2.257178], active=1
covariate 25:  name=covariate25, type=float, missing=  4 of 100, average=-0.048948, stdev=1.057349, range=[-2.165330,2.122846], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of 100, average=-0.025335, stdev=0.983203, range=[-2.347691,2.504216], active=1
covariate 27:  name=covariate27, type=float, missing=  5 of 100, average=-0.034844, stdev=0.933550, range=[-2.471560,2.222263], active=1
covariate 28:  name=covariate28, type=float, missing=  4 of 100, average=0.002640, stdev=0.900973, range=[-2.588828,2.276728], active=1
covariate 29:  name=covariate29, type=float, missing=  5 of 100, average=-0.014105, stdev=1.107801, range=[-3.534776,3.484399], active=1
covariate 30:  name=covariate30, type=float, missing=  7 of 100, average=0.027671, stdev=1.047467, range=[-2.482376,2.212866], active=1
covariate 31:  name=covariate31, type=float, missing=  5 of 100, average=-0.048362, stdev=1.020210, range=[-2.644247,2.862393], active=1
covariate 32:  name=covariate32, type=float, missing=  4 of 100, average=-0.157339, stdev=1.003662, range=[-2.309785,2.219947], active=1
covariate 33:  name=covariate33, type=float, missing=  3 of 100, average=-0.072294, stdev=0.859245, range=[-2.263740,1.916052], active=1
covariate 34:  name=covariate34, type=float, missing=  5 of 100, average=0.048557, stdev=1.047058, range=[-2.354429,2.518921], active=1
covariate 35:  name=covariate35, type=float, missing=  1 of 100, average=-0.158898, stdev=0.946472, range=[-2.218716,2.004352], active=1
covariate 36:  name=covariate36, type=float, missing=  6 of 100, average=-0.111185, stdev=1.016553, range=[-2.912309,2.236783], active=1
covariate 37:  name=covariate37, type=float, missing=  5 of 100, average=0.024950, stdev=1.073463, range=[-2.450837,2.248597], active=1
covariate 38:  name=covariate38, type=float, missing=  1 of 100, average=0.120264, stdev=1.019351, range=[-2.484582,2.764337], active=1
covariate 39:  name=covariate39, type=float, missing=  7 of 100, average=-0.022968, stdev=0.925069, range=[-2.042594,2.245756], active=1
covariate 40:  name=covariate40, type=float, missing=  8 of 100, average=0.040041, stdev=0.946287, range=[-2.134828,2.437009], active=1
covariate 41:  name=covariate41, type=float, missing=  9 of 100, average=0.061923, stdev=1.070821, range=[-2.681898,2.400353], active=1
covariate 42:  name=covariate42, type=float, missing=  1 of 100, average=0.000241, stdev=1.101523, range=[-3.259667,2.598108], active=1
covariate 43:  name=covariate43, type=float, missing=  3 of 100, average=-0.038509, stdev=0.978251, range=[-2.429180,2.777098], active=1
covariate 44:  name=covariate44, type=float, missing=  6 of 100, average=0.098892, stdev=0.841727, range=[-2.281614,1.711140], active=1
covariate 45:  name=covariate45, type=float, missing=  6 of 100, average=0.211302, stdev=1.016611, range=[-2.595433,2.579084], active=1
covariate 46:  name=covariate46, type=float, missing=  7 of 100, average=-0.090776, stdev=1.089918, range=[-2.020463,3.382652], active=1
covariate 47:  name=covariate47, type=float, missing= 12 of 100, average=0.074623, stdev=1.093600, range=[-2.420507,2.404000], active=1
covariate 48:  name=covariate48, type=float, missing=  4 of 100, average=-0.012286, stdev=0.942826, range=[-1.944302,2.880741], active=1
covariate 49:  name=covariate49, type=float, missing=  7 of 100, average=-0.088536, stdev=0.934236, range=[-2.460783,1.930888], active=1
covariate 50:  name=covariate50, type=float, missing=  4 of 100, average=-0.030056, stdev=0.968242, range=[-2.123098,2.310871], active=1
covariate 51:  name=covariate51, type=float, missing=  4 of 100, average=-0.070818, stdev=0.998241, range=[-2.626870,2.283988], active=1
covariate 52:  name=covariate52, type=float, missing=  7 of 100, average=0.031731, stdev=1.177302, range=[-2.678167,2.611419], active=1
covariate 53:  name=covariate53, type=float, missing=  7 of 100, average=-0.163640, stdev=1.054550, range=[-3.194156,2.296021], active=1
covariate 54:  name=covariate54, type=float, missing=  5 of 100, average=-0.018638, stdev=0.846645, range=[-1.900709,2.378069], active=1
covariate 55:  name=covariate55, type=float, missing=  5 of 100, average=-0.036282, stdev=0.991705, range=[-2.776888,2.702590], active=1
covariate 56:  name=covariate56, type=float, missing=  4 of 100, average=-0.123924, stdev=1.092284, range=[-3.272132,2.162333], active=1
covariate 57:  name=covariate57, type=float, missing=  4 of 100, average=0.173943, stdev=1.041480, range=[-2.812176,2.481151], active=1
covariate 58:  name=covariate58, type=float, missing=  5 of 100, average=-0.000328, stdev=0.908296, range=[-2.659294,2.393504], active=1
covariate 59:  name=covariate59, type=float, missing=  5 of 100, average=-0.083853, stdev=1.014722, range=[-2.713753,2.396880], active=1
covariate 60:  name=covariate60, type=float, missing=  4 of 100, average=-0.084500, stdev=0.910514, range=[-2.366037,1.739672], active=1
