active=60: F_T=0.962766, F_V=0.654894
active=59: F_T=0.962128, F_V=0.660851
active=58: F_T=0.962128, F_V=0.653723
active=57: F_T=0.961809, F_V=0.658511
active=56: F_T=0.961489, F_V=0.668511
active=55: F_T=0.958191, F_V=0.670851
active=54: F_T=0.960851, F_V=0.681064
active=53: F_T=0.960532, F_V=0.680426
active=52: F_T=0.956489, F_V=0.682447
active=51: F_T=0.958298, F_V=0.690851
active=50: F_T=0.955851, F_V=0.692128
active=49: F_T=0.958298, F_V=0.700957
active=48: F_T=0.957021, F_V=0.709787
active=47: F_T=0.953191, F_V=0.702447
active=46: F_T=0.951596, F_V=0.709681
active=45: F_T=0.950851, F_V=0.708830
active=44: F_T=0.947979, F_V=0.711915
active=43: F_T=0.946915, F_V=0.718723
active=42: F_T=0.944468, F_V=0.719468
active=41: F_T=0.942660, F_V=0.729574
active=40: F_T=0.944149, F_V=0.732766
active=39: F_T=0.944149, F_V=0.736809
active=38: F_T=0.943617, F_V=0.746277
active=37: F_T=0.939362, F_V=0.750532
active=36: F_T=0.942979, F_V=0.750106
active=35: F_T=0.936064, F_V=0.759468
active=34: F_T=0.939574, F_V=0.755532
active=33: F_T=0.932979, F_V=0.762979
active=32: F_T=0.932340, F_V=0.762234
active=31: F_T=0.927021, F_V=0.770000
active=30: F_T=0.927128, F_V=0.777340
active=29: F_T=0.926277, F_V=0.770213
active=28: F_T=0.922979, F_V=0.780106
active=27: F_T=0.916596, F_V=0.775851
active=26: F_T=0.919574, F_V=0.782447
active=25: F_T=0.920000, F_V=0.782766
active=24: F_T=0.910106, F_V=0.776383
active=23: F_T=0.908511, F_V=0.786702
active=22: F_T=0.902979, F_V=0.786915
active=21: F_T=0.901277, F_V=0.795319
active=20: F_T=0.896064, F_V=0.793936
active=19: F_T=0.897660, F_V=0.802021
active=18: F_T=0.895532, F_V=0.805426
active=17: F_T=0.892872, F_V=0.802766
active=16: F_T=0.884149, F_V=0.797553
active=15: F_T=0.880426, F_V=0.802340
active=14: F_T=0.874043, F_V=0.797021
active=13: F_T=0.866383, F_V=0.800638
active=12: F_T=0.855000, F_V=0.792553
active=11: F_T=0.841915, F_V=0.790851
active=10: F_T=0.825638, F_V=0.768298
active=9: F_T=0.824255, F_V=0.773830
active=8: F_T=0.813511, F_V=0.783191
active=7: F_T=0.817872, F_V=0.762660
active=6: F_T=0.815000, F_V=0.766277
active=5: F_T=0.795106, F_V=0.753617
active=4: F_T=0.732766, F_V=0.704362
active=3: F_T=0.690213, F_V=0.659574
active=2: F_T=0.676170, F_V=0.642447
active=1: F_T=0.628511, F_V=0.640106
active=0: F_T=0.510638, F_V=0.489362
