covariate 1:   name=covariate1, type=float, missing= 21 of 100, average=0.027770, stdev=0.877297, range=[-2.317506,2.245390], active=1
covariate 2:   name=covariate2, type=float, missing= 15 of 100, average=-0.183251, stdev=0.912168, range=[-2.624670,1.888867], active=1
covariate 3:   name=covariate3, type=float, missing= 18 of 100, average=0.006505, stdev=1.131629, range=[-2.847407,2.517010], active=1
covariate 4:   name=covariate4, type=float, missing= 20 of 100, average=0.135097, stdev=1.029450, range=[-2.752678,2.522316], active=1
covariate 5:   name=covariate5, type=float, missing= 24 of 100, average=0.224506, stdev=1.030188, range=[-2.351517,2.646299], active=1
covariate 6:   name=covariate6, type=float, missing= 15 of 100, average=-0.010099, stdev=0.890628, range=[-1.980536,1.920243], active=1
covariate 7:   name=covariate7, type=float, missing= 14 of 100, average=-0.061417, stdev=0.936742, range=[-2.345966,1.743021], active=1
covariate 8:   name=covariate8, type=float, missing= 27 of 100, average=0.053640, stdev=1.028329, range=[-2.064387,2.749636], active=1
covariate 9:   name=covariate9, type=float, missing= 26 of 100, average=0.007933, stdev=1.115940, range=[-2.547101,2.421421], active=1
covariate 10:  name=covariate10, type=float, missing= 21 of 100, average=-0.110982, stdev=0.867026, range=[-2.383265,2.499151], active=1
covariate 11:  name=covariate11, type=float, missing= 19 of 100, average=0.018084, stdev=0.859533, range=[-1.844925,1.743545], active=1
covariate 12:  name=covariate12, type=float, missing= 12 of 100, average=-0.056409, stdev=0.863117, range=[-1.908837,1.703666], active=1
covariate 13:  name=covariate13, type=float, missing= 13 of 100, average=0.065931, stdev=1.000063, range=[-2.624375,3.022484], active=1
covariate 14:  name=covariate14, type=float, missing= 18 of 100, average=0.104614, stdev=1.120088, range=[-1.955538,2.796194], active=1
covariate 15:  name=covariate15, type=float, missing= 25 of 100, average=0.210846, stdev=0.950427, range=[-1.976282,2.540814], active=1
covariate 16:  name=covariate16, type=float, missing= 22 of 100, average=0.139535, stdev=0.890480, range=[-1.748951,2.334995], active=1
covariate 17:  name=covariate17, type=float, missing= 21 of 100, average=-0.077957, stdev=1.191027, range=[-2.483528,2.622086], active=1
covariate 18:  name=covariate18, type=float, missing= 22 of 100, average=-0.100627, stdev=0.937886, range=[-1.952543,2.123152], active=1
covariate 19:  name=covariate19, type=float, missing= 16 of 100, average=-0.024915, stdev=1.055413, range=[-3.466349,2.263265], active=1
covariate 20:  name=covariate20, type=float, missing= 19 of 100, average=-0.094788, stdev=1.056142, range=[-2.594995,3.320520], active=1
covariate 21:  name=covariate21, type=float, missing= 23 of 100, average=0.191619, stdev=0.901591, range=[-2.041734,2.408488], active=1
covariate 22:  name=covariate22, type=float, missing= 17 of 100, average=0.048787, stdev=0.990063, range=[-2.244920,2.520866], active=1
covariate 23:  name=covariate23, type=float, missing= 21 of 100, average=0.020204, stdev=1.025922, range=[-2.437099,2.928403], active=1
covariate 24:  name=covariate24, type=float, missing= 23 of 100, average=0.129598, stdev=1.000673, range=[-2.588040,2.422953], active=1
covariate 25:  name=covariate25, type=float, missing= 21 of 100, average=0.202726, stdev=1.120491, range=[-2.522576,3.283023], active=1
covariate 26:  name=covariate26, type=float, missing= 13 of 100, average=0.087029, stdev=1.085374, range=[-3.058003,3.192749], active=1
covariate 27:  name=covariate27, type=float, missing= 28 of 100, average=-0.159598, stdev=0.984977, range=[-2.916535,2.191412], active=1
covariate 28:  name=covariate28, type=float, missing= 15 of 100, average=-0.220370, stdev=1.055600, range=[-3.337451,2.214592], active=1
covariate 29:  name=covariate29, type=float, missing= 18 of 100, average=-0.046187, stdev=1.049608, range=[-2.618270,2.264678], active=1
covariate 30:  name=covariate30, type=float, missing= 18 of 100, average=0.170989, stdev=0.916702, range=[-2.001599,2.125423], active=1
covariate 31:  name=covariate31, type=float, missing=  9 of 100, average=0.074972, stdev=1.036247, range=[-2.414130,3.283873], active=1
covariate 32:  name=covariate32, type=float, missing= 21 of 100, average=-0.054394, stdev=0.871240, range=[-2.125865,1.871213], active=1
covariate 33:  name=covariate33, type=float, missing= 20 of 100, average=0.042423, stdev=1.023024, range=[-3.580140,1.972280], active=1
covariate 34:  name=covariate34, type=float, missing= 18 of 100, average=-0.060863, stdev=0.964461, range=[-2.651976,2.007613], active=1
covariate 35:  name=covariate35, type=float, missing= 28 of 100, average=0.114007, stdev=0.931493, range=[-1.965401,2.230240], active=1
covariate 36:  name=covariate36, type=float, missing= 22 of 100, average=-0.028566, stdev=1.047812, range=[-3.446633,3.714151], active=1
covariate 37:  name=covariate37, type=float, missing= 19 of 100, average=-0.023008, stdev=1.037181, range=[-2.550895,2.369438], active=1
covariate 38:  name=covariate38, type=float, missing= 17 of 100, average=-0.086695, stdev=1.002312, range=[-2.763636,3.058226], active=1
covariate 39:  name=covariate39, type=float, missing= 16 of 100, average=0.016140, stdev=0.939292, range=[-2.150709,2.966459], active=1
covariate 40:  name=covariate40, type=float, missing= 24 of 100, average=0.019190, stdev=0.982692, range=[-2.155654,1.791171], active=1
covariate 41:  name=covariate41, type=float, missing= 19 of 100, average=0.114188, stdev=0.912446, range=[-2.242400,2.431885], active=1
covariate 42:  name=covariate42, type=float, missing= 19 of 100, average=-0.003581, stdev=1.044607, range=[-2.677849,2.535322], active=1
covariate 43:  name=covariate43, type=float, missing= 23 of 100, average=0.285215, stdev=1.117247, range=[-2.492611,3.381487], active=1
covariate 44:  name=covariate44, type=float, missing= 23 of 100, average=0.136391, stdev=1.135451, range=[-2.507627,3.157093], active=1
covariate 45:  name=covariate45, type=float, missing= 23 of 100, average=0.032038, stdev=0.899336, range=[-2.784854,1.767191], active=1
covariate 46:  name=covariate46, type=float, missing= 16 of 100, average=-0.052847, stdev=0.927062, range=[-2.251855,1.792303], active=1
covariate 47:  name=covariate47, type=float, missing= 15 of 100, average=-0.183170, stdev=1.030965, range=[-2.902868,2.179714], active=1
covariate 48:  name=covariate48, type=float, missing= 23 of 100, average=-0.144147, stdev=1.031518, range=[-2.938510,1.717829], active=1
covariate 49:  name=covariate49, type=float, missing= 23 of 100, average=0.175382, stdev=1.006887, range=[-1.952502,3.354889], active=1
covariate 50:  name=covariate50, type=float, missing= 26 of 100, average=0.060780, stdev=1.144961, range=[-3.644631,2.936877], active=1
covariate 51:  name=covariate51, type=float, missing= 13 of 100, average=0.204222, stdev=1.067981, range=[-2.869292,2.413366], active=1
covariate 52:  name=covariate52, type=float, missing= 18 of 100, average=-0.081850, stdev=1.158694, range=[-3.358963,2.292613], active=1
