active=20: F_T=0.680400, F_V=0.465100
active=19: F_T=0.683900, F_V=0.462100
active=18: F_T=0.672700, F_V=0.470300
active=17: F_T=0.670700, F_V=0.472700
active=16: F_T=0.659000, F_V=0.472300
active=15: F_T=0.663000, F_V=0.487300
active=14: F_T=0.649700, F_V=0.477100
active=13: F_T=0.642700, F_V=0.477700
active=12: F_T=0.629000, F_V=0.485200
active=11: F_T=0.623900, F_V=0.488900
active=10: F_T=0.616000, F_V=0.496500
active=9: F_T=0.616000, F_V=0.506200
active=8: F_T=0.609400, F_V=0.491800
active=7: F_T=0.599200, F_V=0.504700
active=6: F_T=0.601300, F_V=0.503800
active=5: F_T=0.596700, F_V=0.513600
active=4: F_T=0.588900, F_V=0.508300
active=3: F_T=0.557300, F_V=0.511000
active=2: F_T=0.555900, F_V=0.515200
active=1: F_T=0.531000, F_V=0.502300
active=0: F_T=0.500000, F_V=0.500000
