covariate 1:   name=covariate1, type=float, missing= 38 of 100, average=-0.045903, stdev=1.128460, range=[-2.291840,2.013671], active=1
covariate 2:   name=covariate2, type=float, missing= 48 of 100, average=0.140964, stdev=0.776554, range=[-1.779422,2.151079], active=1
covariate 3:   name=covariate3, type=float, missing= 47 of 100, average=0.020515, stdev=0.998852, range=[-2.360385,2.728464], active=1
covariate 4:   name=covariate4, type=float, missing= 36 of 100, average=0.260005, stdev=1.094987, range=[-2.859050,3.165573], active=1
covariate 5:   name=covariate5, type=float, missing= 39 of 100, average=-0.027831, stdev=1.094312, range=[-2.532669,2.542468], active=1
covariate 6:   name=covariate6, type=float, missing= 41 of 100, average=-0.034054, stdev=1.113782, range=[-2.792785,3.343110], active=1
covariate 7:   name=covariate7, type=float, missing= 40 of 100, average=0.040244, stdev=1.275182, range=[-3.727714,2.276525], active=1
covariate 8:   name=covariate8, type=float, missing= 41 of 100, average=-0.057087, stdev=0.929160, range=[-1.966024,2.259463], active=1
covariate 9:   name=covariate9, type=float, missing= 37 of 100, average=-0.115422, stdev=0.971720, range=[-2.731370,1.896938], active=1
covariate 10:  name=covariate10, type=float, missing= 38 of 100, average=-0.205723, stdev=0.925985, range=[-2.128963,1.974787], active=1
covariate 11:  name=covariate11, type=float, missing= 43 of 100, average=-0.050595, stdev=1.054452, range=[-2.355566,2.627771], active=1
covariate 12:  name=covariate12, type=float, missing= 33 of 100, average=-0.004350, stdev=0.970631, range=[-2.764593,1.939575], active=1
covariate 13:  name=covariate13, type=float, missing= 40 of 100, average=-0.128235, stdev=0.954151, range=[-2.428412,2.543102], active=1
covariate 14:  name=covariate14, type=float, missing= 43 of 100, average=0.093299, stdev=0.925637, range=[-1.866510,1.714637], active=1
covariate 15:  name=covariate15, type=float, missing= 38 of 100, average=0.173317, stdev=0.953186, range=[-2.233505,2.061808], active=1
covariate 16:  name=covariate16, type=float, missing= 37 of 100, average=-0.187424, stdev=0.964761, range=[-2.204361,1.740832], active=1
covariate 17:  name=covariate17, type=float, missing= 34 of 100, average=-0.048159, stdev=0.898572, range=[-2.364160,2.018866], active=1
covariate 18:  name=covariate18, type=float, missing= 32 of 100, average=0.025307, stdev=0.986609, range=[-1.997968,3.211556], active=1
covariate 19:  name=covariate19, type=float, missing= 37 of 100, average=-0.114160, stdev=0.920115, range=[-2.171738,2.590653], active=1
covariate 20:  name=covariate20, type=float, missing= 49 of 100, average=-0.240828, stdev=0.968500, range=[-2.060879,2.488753], active=1
