covariate 1:   name=covariate1, type=float, missing=  0 of  10, average=-0.415845, stdev=0.772880, range=[-1.873493,1.034018], active=1
covariate 2:   name=covariate2, type=float, missing=  1 of  10, average=0.038359, stdev=0.909692, range=[-1.374905,1.423149], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of  10, average=0.003106, stdev=0.906986, range=[-1.385808,1.660967], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  10, average=0.151894, stdev=1.521444, range=[-2.503379,2.826368], active=1
covariate 5:   name=covariate5, type=float, missing=  2 of  10, average=0.387259, stdev=0.923522, range=[-0.970120,1.741153], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  10, average=0.173731, stdev=0.923920, range=[-1.840409,1.222122], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=-0.239843, stdev=0.906209, range=[-1.557580,1.229242], active=1
covariate 8:   name=covariate8, type=float, missing=  1 of  10, average=0.400113, stdev=0.777371, range=[-1.192772,1.370107], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  10, average=0.548617, stdev=0.394427, range=[-0.058592,1.019072], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of  10, average=-0.668965, stdev=0.956563, range=[-2.848137,0.742976], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  10, average=-0.080821, stdev=0.945766, range=[-1.342916,2.298912], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  10, average=0.232330, stdev=0.840007, range=[-0.700803,1.444619], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  10, average=-0.297660, stdev=0.943372, range=[-2.438076,1.187281], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of  10, average=-0.254574, stdev=1.050692, range=[-2.213547,1.501992], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  10, average=0.766424, stdev=0.699123, range=[-0.017195,1.952261], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  10, average=-0.214598, stdev=0.877423, range=[-1.358715,1.230792], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  10, average=-0.392493, stdev=0.855784, range=[-1.482926,0.961679], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  10, average=-0.051043, stdev=1.096892, range=[-1.719922,1.699041], active=1
covariate 19:  name=covariate19, type=float, missing=  2 of  10, average=-0.574974, stdev=1.041187, range=[-2.806663,0.533419], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  10, average=0.658728, stdev=0.902772, range=[-1.369960,2.079529], active=1
covariate 21:  name=covariate21, type=float, missing=  2 of  10, average=0.081994, stdev=0.714476, range=[-1.617003,0.728233], active=1
covariate 22:  name=covariate22, type=float, missing=  1 of  10, average=-0.260783, stdev=1.024230, range=[-1.896740,1.654552], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  10, average=-0.251078, stdev=0.736478, range=[-1.981999,0.839321], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  10, average=-0.126506, stdev=1.049937, range=[-1.401449,2.177755], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of  10, average=-0.035781, stdev=1.124810, range=[-1.617889,1.888658], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of  10, average=0.094924, stdev=0.659814, range=[-0.908299,1.279817], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of  10, average=-0.272656, stdev=0.693077, range=[-1.081950,1.251987], active=1
covariate 28:  name=covariate28, type=float, missing=  1 of  10, average=0.389118, stdev=1.443167, range=[-2.317463,2.582136], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of  10, average=-0.078950, stdev=1.376202, range=[-1.949857,2.851609], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of  10, average=0.432355, stdev=1.178259, range=[-1.721236,2.162431], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of  10, average=-0.038209, stdev=0.522779, range=[-0.961403,0.598781], active=1
covariate 32:  name=covariate32, type=float, missing=  1 of  10, average=0.242197, stdev=0.786813, range=[-0.705299,1.733487], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of  10, average=0.119536, stdev=0.853235, range=[-0.939620,2.031023], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of  10, average=-0.164677, stdev=1.166940, range=[-1.886403,2.773119], active=1
covariate 35:  name=covariate35, type=float, missing=  1 of  10, average=-0.048818, stdev=1.069199, range=[-1.758519,1.771535], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of  10, average=0.286755, stdev=1.151095, range=[-0.897953,3.264010], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of  10, average=-0.505251, stdev=0.769120, range=[-1.569797,0.862108], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of  10, average=0.323051, stdev=0.684036, range=[-0.587161,1.739706], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of  10, average=0.037298, stdev=1.450667, range=[-3.259953,2.237589], active=1
