covariate 1:   name=covariate1, type=float, missing=  0 of  10, average=-0.048978, stdev=0.718585, range=[-1.148771,1.080850], active=1
covariate 2:   name=covariate2, type=float, missing=  1 of  10, average=0.504885, stdev=0.631733, range=[-0.758097,1.282357], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of  10, average=0.549553, stdev=0.657779, range=[-0.387545,1.661305], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  10, average=0.238909, stdev=0.894746, range=[-0.970145,2.245390], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  10, average=0.402097, stdev=1.014673, range=[-1.299833,1.976745], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  10, average=-0.032589, stdev=0.706787, range=[-0.728802,1.709988], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=-0.269018, stdev=1.118691, range=[-1.805229,2.240668], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  10, average=-0.235678, stdev=0.737641, range=[-1.362050,0.953607], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of  10, average=-0.241466, stdev=1.111042, range=[-2.257961,1.849740], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of  10, average=-0.114003, stdev=0.997152, range=[-2.317506,0.971182], active=1
covariate 11:  name=covariate11, type=float, missing=  2 of  10, average=-0.347045, stdev=0.919278, range=[-1.476752,1.415190], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of  10, average=0.198684, stdev=0.721884, range=[-0.696286,1.425408], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  10, average=0.247064, stdev=0.804178, range=[-1.562866,1.370648], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  10, average=-0.132863, stdev=0.555666, range=[-1.001213,0.612532], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of  10, average=0.096192, stdev=0.800740, range=[-1.014460,1.530215], active=1
covariate 16:  name=covariate16, type=float, missing=  1 of  10, average=-0.268124, stdev=0.830784, range=[-2.006056,0.766776], active=1
covariate 17:  name=covariate17, type=float, missing=  2 of  10, average=-0.595135, stdev=1.267606, range=[-2.624670,1.888867], active=1
covariate 18:  name=covariate18, type=float, missing=  1 of  10, average=-0.489848, stdev=0.918288, range=[-1.637470,1.244571], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  10, average=0.403662, stdev=1.096344, range=[-2.560981,1.675285], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  10, average=-0.179926, stdev=0.624518, range=[-1.390843,0.735776], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  10, average=-0.464530, stdev=0.833408, range=[-1.577641,0.988062], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of  10, average=0.480780, stdev=0.790800, range=[-1.105717,1.389828], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  10, average=0.262438, stdev=1.169732, range=[-1.290930,2.480611], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  10, average=0.351709, stdev=0.812697, range=[-0.930786,1.660803], active=1
covariate 25:  name=covariate25, type=float, missing=  1 of  10, average=-0.311460, stdev=1.362741, range=[-2.698070,1.835334], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of  10, average=0.378783, stdev=1.200449, range=[-1.436551,2.862059], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of  10, average=-0.605814, stdev=0.931848, range=[-2.120250,1.295230], active=1
covariate 28:  name=covariate28, type=float, missing=  2 of  10, average=-0.156163, stdev=1.279069, range=[-1.836422,1.599637], active=1
covariate 29:  name=covariate29, type=float, missing=  1 of  10, average=0.018507, stdev=0.709099, range=[-1.215435,1.238143], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of  10, average=0.528012, stdev=1.347773, range=[-2.847407,2.517010], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of  10, average=0.437880, stdev=1.015430, range=[-0.741779,2.522316], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of  10, average=-0.210959, stdev=0.933783, range=[-1.783125,0.978858], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of  10, average=0.320140, stdev=1.029174, range=[-1.653294,1.990748], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of  10, average=0.349479, stdev=1.093385, range=[-1.440825,2.374568], active=1
covariate 35:  name=covariate35, type=float, missing=  1 of  10, average=-0.176790, stdev=0.490938, range=[-0.968647,0.699503], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of  10, average=-0.223884, stdev=0.888935, range=[-1.437652,1.170879], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of  10, average=-0.068464, stdev=1.046152, range=[-2.752678,1.226711], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of  10, average=-0.057120, stdev=1.096040, range=[-2.114899,1.722353], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of  10, average=0.275837, stdev=1.125510, range=[-0.989326,2.263595], active=1
covariate 40:  name=covariate40, type=float, missing=  1 of  10, average=0.275227, stdev=1.160972, range=[-1.463533,2.100403], active=1
