covariate 1:   name=covariate1, type=float, missing=  2 of  50, average=0.012207, stdev=0.875865, range=[-2.603576,2.160114], active=1
covariate 2:   name=covariate2, type=float, missing=  1 of  50, average=0.174182, stdev=0.973686, range=[-2.422049,2.309053], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of  50, average=-0.199977, stdev=0.949660, range=[-2.946642,1.633127], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of  50, average=0.201343, stdev=1.042229, range=[-2.085090,2.438631], active=1
covariate 5:   name=covariate5, type=float, missing=  2 of  50, average=-0.151158, stdev=0.984335, range=[-1.978234,2.149519], active=1
covariate 6:   name=covariate6, type=float, missing=  3 of  50, average=0.233425, stdev=0.977004, range=[-1.704615,2.483984], active=1
covariate 7:   name=covariate7, type=float, missing=  2 of  50, average=0.106662, stdev=0.979222, range=[-1.693937,1.912252], active=1
covariate 8:   name=covariate8, type=float, missing=  3 of  50, average=-0.061462, stdev=1.091212, range=[-2.170796,2.530958], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=0.064785, stdev=0.983555, range=[-2.254701,2.511247], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of  50, average=0.039870, stdev=0.861589, range=[-2.049077,1.851439], active=1
covariate 11:  name=covariate11, type=float, missing=  2 of  50, average=-0.188284, stdev=0.977733, range=[-3.351897,2.391593], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of  50, average=0.281100, stdev=0.961282, range=[-2.110810,2.286567], active=1
covariate 13:  name=covariate13, type=float, missing=  3 of  50, average=-0.023202, stdev=1.026511, range=[-2.424326,2.473208], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  50, average=0.299935, stdev=0.986672, range=[-1.878290,2.225356], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of  50, average=0.081727, stdev=0.855132, range=[-1.995490,1.967115], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  50, average=-0.050640, stdev=0.868258, range=[-2.463758,2.056633], active=1
covariate 17:  name=covariate17, type=float, missing=  3 of  50, average=-0.074777, stdev=1.024741, range=[-2.369533,2.386239], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of  50, average=-0.003376, stdev=1.054559, range=[-2.727429,1.946335], active=1
covariate 19:  name=covariate19, type=float, missing=  4 of  50, average=0.126960, stdev=0.892578, range=[-1.902500,2.583682], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  50, average=-0.010376, stdev=0.969150, range=[-2.563036,1.982471], active=1
covariate 21:  name=covariate21, type=float, missing=  2 of  50, average=-0.119985, stdev=0.926746, range=[-2.688694,1.445648], active=1
