active=40: F_T=0.905521, F_V=0.650745
active=39: F_T=0.902187, F_V=0.670213
active=38: F_T=0.902813, F_V=0.671489
active=37: F_T=0.903438, F_V=0.666170
active=36: F_T=0.900208, F_V=0.677660
active=35: F_T=0.893125, F_V=0.689043
active=34: F_T=0.892396, F_V=0.687553
active=33: F_T=0.886979, F_V=0.698191
active=32: F_T=0.891458, F_V=0.704574
active=31: F_T=0.889792, F_V=0.695319
active=30: F_T=0.879792, F_V=0.704787
active=29: F_T=0.883438, F_V=0.712128
active=28: F_T=0.876875, F_V=0.717128
active=27: F_T=0.880313, F_V=0.719894
active=26: F_T=0.884271, F_V=0.728404
active=25: F_T=0.877292, F_V=0.737340
active=24: F_T=0.873542, F_V=0.736915
active=23: F_T=0.879271, F_V=0.737447
active=22: F_T=0.878229, F_V=0.748723
active=21: F_T=0.868958, F_V=0.751702
active=20: F_T=0.862708, F_V=0.752021
active=19: F_T=0.872500, F_V=0.743085
active=18: F_T=0.870208, F_V=0.751277
active=17: F_T=0.857917, F_V=0.756489
active=16: F_T=0.860937, F_V=0.765957
active=15: F_T=0.857187, F_V=0.772021
active=14: F_T=0.866667, F_V=0.780957
active=13: F_T=0.858437, F_V=0.772447
active=12: F_T=0.851979, F_V=0.777128
active=11: F_T=0.850000, F_V=0.772553
active=10: F_T=0.828646, F_V=0.754894
active=9: F_T=0.826354, F_V=0.763404
active=8: F_T=0.805000, F_V=0.750532
active=7: F_T=0.776562, F_V=0.747234
active=6: F_T=0.776667, F_V=0.728298
active=5: F_T=0.756042, F_V=0.712979
active=4: F_T=0.713229, F_V=0.673936
active=3: F_T=0.675312, F_V=0.654362
active=2: F_T=0.667187, F_V=0.659255
active=1: F_T=0.633646, F_V=0.629787
active=0: F_T=0.500000, F_V=0.489362
