    vars  set          vimp positive
1    A70 VIMP  6.225093e-03     TRUE
2    A96 VIMP  5.641737e-03     TRUE
3     A1 VIMP  4.003385e-03     TRUE
4    A93 VIMP  3.331924e-03     TRUE
5    A85 VIMP  3.147530e-03     TRUE
6    A42 VIMP  2.922929e-03     TRUE
7     A5 VIMP  2.843130e-03     TRUE
8    A87 VIMP  2.696188e-03     TRUE
9   A100 VIMP  2.626268e-03     TRUE
10   A31 VIMP  2.499778e-03     TRUE
11   A74 VIMP  1.884511e-03     TRUE
12   A34 VIMP  1.507025e-03     TRUE
13   A67 VIMP  1.360812e-03     TRUE
14   A52 VIMP  1.200107e-03     TRUE
15   A81 VIMP  9.840608e-04     TRUE
16   A47 VIMP  9.738424e-04     TRUE
17   A77 VIMP  9.446150e-04     TRUE
18   A95 VIMP  8.604707e-04     TRUE
19   A69 VIMP  7.866356e-04     TRUE
20   A49 VIMP  7.674805e-04     TRUE
21   A32 VIMP  7.376770e-04     TRUE
22   A20 VIMP  7.056134e-04     TRUE
23   A78 VIMP  6.986834e-04     TRUE
24    A9 VIMP  6.869873e-04     TRUE
25   A30 VIMP  6.564422e-04     TRUE
26   A13 VIMP  6.111744e-04     TRUE
27   A18 VIMP  5.526447e-04     TRUE
28   A15 VIMP  5.449993e-04     TRUE
29   A58 VIMP  5.010139e-04     TRUE
30   A48 VIMP  4.785099e-04     TRUE
31   A53 VIMP  4.737860e-04     TRUE
32   A51 VIMP  4.570922e-04     TRUE
33   A50 VIMP  3.917120e-04     TRUE
34   A26 VIMP  3.310768e-04     TRUE
35   A64 VIMP  3.239002e-04     TRUE
36   A41 VIMP  2.706522e-04     TRUE
37   A11 VIMP  2.558209e-04     TRUE
38    A3 VIMP  1.941874e-04     TRUE
39   A36 VIMP  1.746586e-04     TRUE
40   A33 VIMP  1.670224e-04     TRUE
41   A45 VIMP  1.639685e-04     TRUE
42   A76 VIMP  1.524811e-04     TRUE
43   A63 VIMP  1.481553e-04     TRUE
44   A39 VIMP  1.440536e-04     TRUE
45   A14 VIMP  1.318722e-04     TRUE
46   A28 VIMP  9.266678e-05     TRUE
47   A72 VIMP -5.051748e-05    FALSE
48   A46 VIMP -7.798538e-05    FALSE
49    A4 VIMP -9.525773e-05    FALSE
50   A86 VIMP -1.541453e-04    FALSE
51   A84 VIMP -1.683682e-04    FALSE
52   A68 VIMP -1.867745e-04    FALSE
53   A92 VIMP -1.962860e-04    FALSE
54   A66 VIMP -2.023148e-04    FALSE
55   A89 VIMP -2.169729e-04    FALSE
56   A22 VIMP -2.333696e-04    FALSE
57   A75 VIMP -2.363750e-04    FALSE
58   A97 VIMP -2.430247e-04    FALSE
59   A65 VIMP -2.445037e-04    FALSE
60   A99 VIMP -2.553156e-04    FALSE
61   A16 VIMP -2.621074e-04    FALSE
62   A83 VIMP -2.798307e-04    FALSE
63   A59 VIMP -2.814366e-04    FALSE
64   A10 VIMP -3.303987e-04    FALSE
65   A40 VIMP -3.565715e-04    FALSE
66    A6 VIMP -3.781913e-04    FALSE
67   A82 VIMP -3.966615e-04    FALSE
68   A44 VIMP -3.967561e-04    FALSE
69   A98 VIMP -4.251908e-04    FALSE
70   A24 VIMP -4.263843e-04    FALSE
71   A54 VIMP -4.290412e-04    FALSE
72   A88 VIMP -4.309073e-04    FALSE
73   A12 VIMP -4.364592e-04    FALSE
74   A29 VIMP -4.551802e-04    FALSE
75   A38 VIMP -4.593578e-04    FALSE
76   A35 VIMP -4.706863e-04    FALSE
77   A43 VIMP -4.814758e-04    FALSE
78   A21 VIMP -5.181300e-04    FALSE
79   A37 VIMP -5.342612e-04    FALSE
80   A79 VIMP -5.378762e-04    FALSE
81    A2 VIMP -5.425382e-04    FALSE
82   A80 VIMP -5.705608e-04    FALSE
83   A17 VIMP -5.885336e-04    FALSE
84    A8 VIMP -6.329222e-04    FALSE
85    A7 VIMP -6.393883e-04    FALSE
86   A94 VIMP -6.767266e-04    FALSE
87   A57 VIMP -6.880638e-04    FALSE
88   A56 VIMP -7.329172e-04    FALSE
89   A91 VIMP -7.677278e-04    FALSE
90   A62 VIMP -7.738368e-04    FALSE
91   A90 VIMP -8.081254e-04    FALSE
92   A27 VIMP -8.105883e-04    FALSE
93   A55 VIMP -1.070013e-03    FALSE
94   A60 VIMP -1.072407e-03    FALSE
95   A73 VIMP -1.076012e-03    FALSE
96   A19 VIMP -1.088264e-03    FALSE
97   A61 VIMP -1.091761e-03    FALSE
98   A23 VIMP -1.151285e-03    FALSE
99   A25 VIMP -1.301240e-03    FALSE
100  A71 VIMP -1.445195e-03    FALSE
