    vars  set          vimp positive
1    A70 VIMP  9.036370e-03     TRUE
2    A96 VIMP  6.663694e-03     TRUE
3     A1 VIMP  6.150088e-03     TRUE
4    A42 VIMP  4.446573e-03     TRUE
5   A100 VIMP  3.983414e-03     TRUE
6    A93 VIMP  3.485933e-03     TRUE
7    A85 VIMP  3.273937e-03     TRUE
8    A87 VIMP  1.919847e-03     TRUE
9    A74 VIMP  1.694531e-03     TRUE
10   A78 VIMP  1.508261e-03     TRUE
11   A48 VIMP  1.260765e-03     TRUE
12   A32 VIMP  1.260425e-03     TRUE
13   A31 VIMP  1.240559e-03     TRUE
14   A13 VIMP  9.589312e-04     TRUE
15   A44 VIMP  8.813379e-04     TRUE
16    A4 VIMP  8.806051e-04     TRUE
17   A14 VIMP  8.331262e-04     TRUE
18   A52 VIMP  8.089172e-04     TRUE
19   A11 VIMP  7.371241e-04     TRUE
20   A28 VIMP  6.271858e-04     TRUE
21   A62 VIMP  6.271757e-04     TRUE
22   A18 VIMP  6.060671e-04     TRUE
23   A81 VIMP  5.968501e-04     TRUE
24   A43 VIMP  5.367181e-04     TRUE
25   A55 VIMP  5.260045e-04     TRUE
26   A59 VIMP  5.218903e-04     TRUE
27   A66 VIMP  5.214919e-04     TRUE
28   A75 VIMP  4.554401e-04     TRUE
29    A9 VIMP  3.964998e-04     TRUE
30   A76 VIMP  3.887919e-04     TRUE
31   A27 VIMP  3.709891e-04     TRUE
32   A69 VIMP  3.616003e-04     TRUE
33    A6 VIMP  3.386194e-04     TRUE
34   A23 VIMP  3.297563e-04     TRUE
35   A47 VIMP  2.966214e-04     TRUE
36   A38 VIMP  2.539140e-04     TRUE
37   A56 VIMP  2.350216e-04     TRUE
38   A97 VIMP  2.156626e-04     TRUE
39   A99 VIMP  2.119507e-04     TRUE
40   A61 VIMP  1.872200e-04     TRUE
41   A39 VIMP  1.801152e-04     TRUE
42   A83 VIMP  1.683167e-04     TRUE
43   A45 VIMP  1.557058e-04     TRUE
44   A88 VIMP  1.499432e-04     TRUE
45   A25 VIMP  1.222762e-04     TRUE
46   A86 VIMP  1.045352e-04     TRUE
47   A50 VIMP  9.455238e-05     TRUE
48   A51 VIMP  8.562869e-05     TRUE
49   A89 VIMP  5.884651e-05     TRUE
50   A40 VIMP  2.726659e-05     TRUE
51   A33 VIMP  5.912664e-06     TRUE
52   A30 VIMP -2.144168e-05    FALSE
53   A19 VIMP -8.810236e-05    FALSE
54   A41 VIMP -9.549623e-05    FALSE
55   A67 VIMP -9.692474e-05    FALSE
56   A24 VIMP -9.696859e-05    FALSE
57   A17 VIMP -1.359716e-04    FALSE
58   A16 VIMP -1.706992e-04    FALSE
59    A3 VIMP -1.790899e-04    FALSE
60   A46 VIMP -2.231220e-04    FALSE
61   A21 VIMP -2.964204e-04    FALSE
62   A73 VIMP -2.990378e-04    FALSE
63   A53 VIMP -3.148386e-04    FALSE
64    A8 VIMP -3.244704e-04    FALSE
65   A20 VIMP -4.271456e-04    FALSE
66   A35 VIMP -4.591285e-04    FALSE
67   A37 VIMP -4.614373e-04    FALSE
68   A15 VIMP -5.127636e-04    FALSE
69   A82 VIMP -5.197071e-04    FALSE
70   A68 VIMP -6.121561e-04    FALSE
71   A49 VIMP -6.157858e-04    FALSE
72   A98 VIMP -6.278070e-04    FALSE
73   A90 VIMP -6.331334e-04    FALSE
74   A94 VIMP -6.434647e-04    FALSE
75   A26 VIMP -6.606877e-04    FALSE
76   A95 VIMP -6.636737e-04    FALSE
77   A72 VIMP -6.906342e-04    FALSE
78   A60 VIMP -7.356100e-04    FALSE
79   A79 VIMP -7.444159e-04    FALSE
80   A29 VIMP -7.587288e-04    FALSE
81    A5 VIMP -7.638204e-04    FALSE
82   A57 VIMP -7.875573e-04    FALSE
83   A54 VIMP -7.940038e-04    FALSE
84   A10 VIMP -8.382863e-04    FALSE
85   A71 VIMP -8.606470e-04    FALSE
86   A84 VIMP -8.673788e-04    FALSE
87   A92 VIMP -9.238196e-04    FALSE
88   A80 VIMP -9.286931e-04    FALSE
89   A65 VIMP -9.567962e-04    FALSE
90    A7 VIMP -9.685011e-04    FALSE
91   A58 VIMP -9.820450e-04    FALSE
92   A63 VIMP -9.865019e-04    FALSE
93   A36 VIMP -9.965850e-04    FALSE
94   A77 VIMP -1.060993e-03    FALSE
95   A91 VIMP -1.082017e-03    FALSE
96   A64 VIMP -1.138032e-03    FALSE
97   A12 VIMP -1.219643e-03    FALSE
98   A34 VIMP -1.233437e-03    FALSE
99    A2 VIMP -1.239625e-03    FALSE
100  A22 VIMP -1.274713e-03    FALSE
