    vars  set          vimp positive
1    A70 VIMP  6.756466e-03     TRUE
2     A1 VIMP  6.086482e-03     TRUE
3    A96 VIMP  5.828848e-03     TRUE
4    A85 VIMP  2.998140e-03     TRUE
5   A100 VIMP  2.986365e-03     TRUE
6    A87 VIMP  2.647358e-03     TRUE
7    A32 VIMP  2.263842e-03     TRUE
8    A78 VIMP  2.073285e-03     TRUE
9    A74 VIMP  1.871114e-03     TRUE
10   A93 VIMP  1.800479e-03     TRUE
11   A42 VIMP  1.318868e-03     TRUE
12   A99 VIMP  1.314600e-03     TRUE
13    A4 VIMP  1.302737e-03     TRUE
14   A88 VIMP  1.218908e-03     TRUE
15   A49 VIMP  1.148221e-03     TRUE
16   A31 VIMP  1.122489e-03     TRUE
17   A28 VIMP  9.800280e-04     TRUE
18   A57 VIMP  9.389374e-04     TRUE
19   A83 VIMP  8.937607e-04     TRUE
20   A86 VIMP  8.880059e-04     TRUE
21    A5 VIMP  7.099540e-04     TRUE
22   A13 VIMP  6.608921e-04     TRUE
23   A67 VIMP  6.192864e-04     TRUE
24   A51 VIMP  5.882704e-04     TRUE
25   A44 VIMP  5.807074e-04     TRUE
26   A39 VIMP  4.138524e-04     TRUE
27   A45 VIMP  3.782323e-04     TRUE
28   A43 VIMP  3.728888e-04     TRUE
29   A89 VIMP  3.553238e-04     TRUE
30   A29 VIMP  3.537798e-04     TRUE
31   A11 VIMP  3.535876e-04     TRUE
32   A26 VIMP  2.838493e-04     TRUE
33   A24 VIMP  2.583799e-04     TRUE
34    A6 VIMP  2.469608e-04     TRUE
35   A79 VIMP  2.242761e-04     TRUE
36   A18 VIMP  2.099120e-04     TRUE
37   A56 VIMP  1.458474e-04     TRUE
38   A60 VIMP  1.448783e-04     TRUE
39   A92 VIMP  1.382604e-04     TRUE
40   A55 VIMP  1.193930e-04     TRUE
41   A20 VIMP  4.640296e-05     TRUE
42   A35 VIMP  4.046069e-05     TRUE
43   A14 VIMP  3.782502e-05     TRUE
44   A47 VIMP  1.212882e-05     TRUE
45    A9 VIMP -1.849747e-05    FALSE
46   A94 VIMP -4.051685e-05    FALSE
47   A30 VIMP -1.183662e-04    FALSE
48   A76 VIMP -1.396101e-04    FALSE
49    A8 VIMP -1.576928e-04    FALSE
50   A46 VIMP -1.727744e-04    FALSE
51   A95 VIMP -1.845327e-04    FALSE
52   A61 VIMP -1.847726e-04    FALSE
53   A22 VIMP -1.850519e-04    FALSE
54   A37 VIMP -2.149610e-04    FALSE
55   A54 VIMP -2.258165e-04    FALSE
56   A64 VIMP -2.548200e-04    FALSE
57   A81 VIMP -3.039841e-04    FALSE
58   A33 VIMP -3.531279e-04    FALSE
59   A62 VIMP -3.612744e-04    FALSE
60   A38 VIMP -3.680399e-04    FALSE
61   A69 VIMP -3.779633e-04    FALSE
62   A50 VIMP -3.828521e-04    FALSE
63   A41 VIMP -4.131692e-04    FALSE
64   A82 VIMP -5.073896e-04    FALSE
65   A10 VIMP -5.079658e-04    FALSE
66   A75 VIMP -5.167852e-04    FALSE
67   A58 VIMP -5.176008e-04    FALSE
68   A80 VIMP -5.440739e-04    FALSE
69   A91 VIMP -5.513912e-04    FALSE
70   A59 VIMP -5.833992e-04    FALSE
71   A65 VIMP -5.907225e-04    FALSE
72   A72 VIMP -5.941395e-04    FALSE
73   A12 VIMP -5.945209e-04    FALSE
74   A90 VIMP -6.388745e-04    FALSE
75   A15 VIMP -6.531446e-04    FALSE
76   A23 VIMP -7.027634e-04    FALSE
77   A71 VIMP -7.032216e-04    FALSE
78   A73 VIMP -7.347726e-04    FALSE
79   A68 VIMP -7.531011e-04    FALSE
80   A25 VIMP -8.309720e-04    FALSE
81   A40 VIMP -8.498079e-04    FALSE
82   A19 VIMP -8.740523e-04    FALSE
83   A27 VIMP -9.273090e-04    FALSE
84   A97 VIMP -9.459830e-04    FALSE
85   A63 VIMP -9.684118e-04    FALSE
86   A21 VIMP -1.008345e-03    FALSE
87   A16 VIMP -1.089166e-03    FALSE
88   A53 VIMP -1.095381e-03    FALSE
89   A52 VIMP -1.102238e-03    FALSE
90    A2 VIMP -1.102531e-03    FALSE
91    A7 VIMP -1.121928e-03    FALSE
92   A66 VIMP -1.166840e-03    FALSE
93   A84 VIMP -1.268206e-03    FALSE
94    A3 VIMP -1.307342e-03    FALSE
95   A36 VIMP -1.309496e-03    FALSE
96   A48 VIMP -1.375946e-03    FALSE
97   A17 VIMP -1.486965e-03    FALSE
98   A34 VIMP -1.489691e-03    FALSE
99   A98 VIMP -1.539539e-03    FALSE
100  A77 VIMP -1.595369e-03    FALSE
