covariate 1:   type=float, missing=  0 of  10, average=-0.353362, stdev=0.885337, range=[-1.261363,1.772670], active=1
covariate 2:   type=float, missing=  1 of  10, average=-0.017096, stdev=0.971648, range=[-1.936128,1.743307], active=1
covariate 3:   type=float, missing=  0 of  10, average=-0.329301, stdev=1.274005, range=[-2.931184,1.577922], active=1
covariate 4:   type=float, missing=  0 of  10, average=-0.106488, stdev=0.970766, range=[-1.314712,1.411931], active=1
covariate 5:   type=float, missing=  0 of  10, average=0.158874, stdev=0.812249, range=[-1.668008,1.568438], active=1
covariate 6:   type=float, missing=  1 of  10, average=-0.385104, stdev=0.956741, range=[-1.954893,1.132838], active=1
covariate 7:   type=float, missing=  1 of  10, average=-0.235301, stdev=0.927742, range=[-2.190536,1.351316], active=1
covariate 8:   type=float, missing=  1 of  10, average=-0.412996, stdev=0.794173, range=[-1.460609,0.960092], active=1
covariate 9:   type=float, missing=  0 of  10, average=0.019543, stdev=0.715963, range=[-1.265542,0.883240], active=1
covariate 10:  type=float, missing=  0 of  10, average=-0.352307, stdev=0.599526, range=[-1.601515,0.229555], active=1
covariate 11:  type=float, missing=  1 of  10, average=-0.137735, stdev=0.901859, range=[-1.539027,1.550639], active=1
covariate 12:  type=float, missing=  0 of  10, average=-0.231266, stdev=0.557287, range=[-1.010328,0.986571], active=1
covariate 13:  type=float, missing=  0 of  10, average=0.463224, stdev=0.953102, range=[-0.833770,1.906844], active=1
covariate 14:  type=float, missing=  0 of  10, average=0.424058, stdev=0.939332, range=[-1.063268,1.932859], active=1
covariate 15:  type=float, missing=  0 of  10, average=0.173637, stdev=1.000021, range=[-1.176958,1.770502], active=1
covariate 16:  type=float, missing=  0 of  10, average=-0.404175, stdev=0.891489, range=[-1.379363,1.678319], active=1
covariate 17:  type=float, missing=  0 of  10, average=0.165785, stdev=1.263022, range=[-2.026170,1.826768], active=1
covariate 18:  type=float, missing=  0 of  10, average=0.340931, stdev=1.039171, range=[-1.523475,1.906849], active=1
covariate 19:  type=float, missing=  0 of  10, average=0.072996, stdev=0.699905, range=[-0.836142,1.285564], active=1
covariate 20:  type=float, missing=  2 of  10, average=0.198469, stdev=0.826876, range=[-0.806795,2.005005], active=1
covariate 21:  type=float, missing=  0 of  10, average=0.002920, stdev=0.655437, range=[-1.081637,1.025939], active=1
covariate 22:  type=float, missing=  1 of  10, average=0.549711, stdev=1.112628, range=[-1.011006,2.564098], active=1
covariate 23:  type=float, missing=  0 of  10, average=0.161678, stdev=0.892687, range=[-1.102222,1.492046], active=1
covariate 24:  type=float, missing=  2 of  10, average=0.593649, stdev=0.498941, range=[-0.511232,1.140756], active=1
covariate 25:  type=float, missing=  0 of  10, average=0.143086, stdev=0.606097, range=[-1.066305,1.010979], active=1
covariate 26:  type=float, missing=  0 of  10, average=0.642657, stdev=0.782170, range=[-0.591042,2.185549], active=1
covariate 27:  type=float, missing=  0 of  10, average=-0.135173, stdev=0.848035, range=[-1.995870,1.138079], active=1
covariate 28:  type=float, missing=  1 of  10, average=0.019432, stdev=0.814086, range=[-1.314845,0.976885], active=1
