covariate 1:   name=covariate1, type=float, missing=  1 of  50, average=-0.023121, stdev=1.022174, range=[-2.796751,2.589432], active=1
covariate 2:   name=covariate2, type=float, missing=  2 of  50, average=-0.249208, stdev=0.992951, range=[-2.233737,2.139217], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of  50, average=-0.117145, stdev=0.951503, range=[-2.368153,2.234616], active=1
covariate 4:   name=covariate4, type=float, missing=  3 of  50, average=0.185190, stdev=1.046788, range=[-2.164880,2.244698], active=1
covariate 5:   name=covariate5, type=float, missing=  4 of  50, average=-0.069767, stdev=1.094766, range=[-2.005784,1.841968], active=1
covariate 6:   name=covariate6, type=float, missing=  1 of  50, average=0.201137, stdev=0.978380, range=[-2.301182,2.128508], active=1
covariate 7:   name=covariate7, type=float, missing=  1 of  50, average=-0.184766, stdev=0.994931, range=[-2.545932,2.162814], active=1
covariate 8:   name=covariate8, type=float, missing=  4 of  50, average=0.134195, stdev=0.948354, range=[-2.030525,1.801216], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=-0.036760, stdev=0.841853, range=[-1.862618,1.953273], active=1
covariate 10:  name=covariate10, type=float, missing=  4 of  50, average=-0.057541, stdev=0.929681, range=[-1.776179,2.288912], active=1
covariate 11:  name=covariate11, type=float, missing=  3 of  50, average=-0.104860, stdev=0.995288, range=[-2.023485,2.002344], active=1
covariate 12:  name=covariate12, type=float, missing=  1 of  50, average=0.084602, stdev=0.769035, range=[-1.977214,1.624348], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  50, average=-0.083838, stdev=1.116642, range=[-2.849544,1.881991], active=1
covariate 14:  name=covariate14, type=float, missing=  8 of  50, average=-0.386046, stdev=0.890712, range=[-2.766986,1.386714], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  50, average=0.108352, stdev=1.104015, range=[-2.368299,2.941103], active=1
covariate 16:  name=covariate16, type=float, missing=  4 of  50, average=-0.178363, stdev=0.825183, range=[-2.250024,1.591905], active=1
covariate 17:  name=covariate17, type=float, missing=  3 of  50, average=0.171459, stdev=1.023879, range=[-1.991458,2.290660], active=1
covariate 18:  name=covariate18, type=float, missing=  1 of  50, average=0.018029, stdev=1.038432, range=[-2.052358,2.541096], active=1
covariate 19:  name=covariate19, type=float, missing=  3 of  50, average=0.073239, stdev=0.979984, range=[-2.287297,2.268997], active=1
covariate 20:  name=covariate20, type=float, missing=  5 of  50, average=0.265234, stdev=0.940566, range=[-1.855661,1.931872], active=1
covariate 21:  name=covariate21, type=float, missing=  2 of  50, average=0.046127, stdev=0.928373, range=[-2.012163,2.327208], active=1
covariate 22:  name=covariate22, type=float, missing=  2 of  50, average=0.142303, stdev=1.094573, range=[-2.791234,1.926530], active=1
covariate 23:  name=covariate23, type=float, missing=  4 of  50, average=0.260157, stdev=1.048233, range=[-1.997448,2.230088], active=1
covariate 24:  name=covariate24, type=float, missing=  2 of  50, average=0.101702, stdev=0.930019, range=[-1.810517,1.802305], active=1
covariate 25:  name=covariate25, type=float, missing=  6 of  50, average=0.025272, stdev=1.177047, range=[-2.300338,3.020436], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=-0.123143, stdev=1.002960, range=[-2.950891,1.712737], active=1
covariate 27:  name=covariate27, type=float, missing=  1 of  50, average=0.204987, stdev=0.841069, range=[-1.226074,3.017007], active=1
covariate 28:  name=covariate28, type=float, missing=  2 of  50, average=0.230511, stdev=1.024632, range=[-1.958333,2.631413], active=1
covariate 29:  name=covariate29, type=float, missing=  2 of  50, average=0.002685, stdev=1.066846, range=[-2.510139,2.649860], active=1
covariate 30:  name=covariate30, type=float, missing=  4 of  50, average=0.006285, stdev=1.110108, range=[-2.086923,2.524592], active=1
covariate 31:  name=covariate31, type=float, missing=  3 of  50, average=0.293377, stdev=1.041784, range=[-1.642289,3.576031], active=1
covariate 32:  name=covariate32, type=float, missing=  4 of  50, average=-0.006225, stdev=0.917403, range=[-1.407622,2.396368], active=1
covariate 33:  name=covariate33, type=float, missing=  2 of  50, average=-0.257760, stdev=1.028106, range=[-2.381806,2.752093], active=1
covariate 34:  name=covariate34, type=float, missing=  5 of  50, average=0.055757, stdev=0.809930, range=[-2.119010,1.959560], active=1
covariate 35:  name=covariate35, type=float, missing=  1 of  50, average=0.020067, stdev=1.148611, range=[-2.200938,2.498156], active=1
covariate 36:  name=covariate36, type=float, missing=  2 of  50, average=0.089756, stdev=0.891329, range=[-1.780354,2.432335], active=1
covariate 37:  name=covariate37, type=float, missing=  1 of  50, average=-0.043562, stdev=0.952676, range=[-2.572397,1.851299], active=1
covariate 38:  name=covariate38, type=float, missing=  3 of  50, average=-0.080684, stdev=1.100067, range=[-2.345795,1.688742], active=1
covariate 39:  name=covariate39, type=float, missing=  2 of  50, average=-0.064957, stdev=1.187469, range=[-2.055469,3.052816], active=1
covariate 40:  name=covariate40, type=float, missing=  3 of  50, average=0.033043, stdev=0.938274, range=[-1.843365,2.145539], active=1
covariate 41:  name=covariate41, type=float, missing=  3 of  50, average=-0.216088, stdev=0.834957, range=[-2.717095,2.027238], active=1
covariate 42:  name=covariate42, type=float, missing=  1 of  50, average=0.080065, stdev=0.969925, range=[-2.551427,2.314980], active=1
covariate 43:  name=covariate43, type=float, missing=  2 of  50, average=-0.208447, stdev=1.087438, range=[-2.593273,1.827683], active=1
covariate 44:  name=covariate44, type=float, missing=  2 of  50, average=-0.325348, stdev=1.067737, range=[-2.146398,2.795363], active=1
covariate 45:  name=covariate45, type=float, missing=  4 of  50, average=0.047923, stdev=1.024662, range=[-1.960184,2.201321], active=1
