covariate 1:   type=float, missing=  0 of  10, average=-0.048978, stdev=0.718585, range=[-1.148771,1.080850], active=1
covariate 2:   type=float, missing=  2 of  10, average=0.575794, stdev=0.635389, range=[-0.758097,1.282357], active=1
covariate 3:   type=float, missing=  0 of  10, average=0.549553, stdev=0.657779, range=[-0.387545,1.661305], active=1
covariate 4:   type=float, missing=  0 of  10, average=0.238909, stdev=0.894746, range=[-0.970145,2.245390], active=1
covariate 5:   type=float, missing=  0 of  10, average=0.290198, stdev=1.019459, range=[-1.299833,1.976745], active=1
covariate 6:   type=float, missing=  0 of  10, average=-0.032589, stdev=0.706787, range=[-0.728802,1.709988], active=1
covariate 7:   type=float, missing=  0 of  10, average=-0.269018, stdev=1.118691, range=[-1.805229,2.240668], active=1
covariate 8:   type=float, missing=  0 of  10, average=-0.235678, stdev=0.737641, range=[-1.362050,0.953607], active=1
covariate 9:   type=float, missing=  0 of  10, average=-0.241466, stdev=1.111042, range=[-2.257961,1.849740], active=1
covariate 10:  type=float, missing=  0 of  10, average=-0.114003, stdev=0.997152, range=[-2.317506,0.971182], active=1
covariate 11:  type=float, missing=  0 of  10, average=-0.275134, stdev=0.879423, range=[-1.476752,1.415190], active=1
covariate 12:  type=float, missing=  1 of  10, average=0.220843, stdev=0.757700, range=[-0.696286,1.425408], active=1
covariate 13:  type=float, missing=  0 of  10, average=0.247064, stdev=0.804178, range=[-1.562866,1.370648], active=1
covariate 14:  type=float, missing=  0 of  10, average=-0.121034, stdev=0.528345, range=[-1.001213,0.612532], active=1
covariate 15:  type=float, missing=  2 of  10, average=-0.032619, stdev=0.712377, range=[-1.014460,1.030801], active=1
covariate 16:  type=float, missing=  0 of  10, average=-0.349599, stdev=0.825182, range=[-2.006056,0.766776], active=1
covariate 17:  type=float, missing=  1 of  10, average=-0.233260, stdev=0.977165, range=[-1.962126,1.888867], active=1
covariate 18:  type=float, missing=  1 of  10, average=-0.482964, stdev=0.915710, range=[-1.637470,1.244571], active=1
covariate 19:  type=float, missing=  0 of  10, average=0.403662, stdev=1.096344, range=[-2.560981,1.675285], active=1
covariate 20:  type=float, missing=  1 of  10, average=-0.109453, stdev=0.619429, range=[-1.390843,0.735776], active=1
covariate 21:  type=float, missing=  0 of  10, average=-0.481849, stdev=0.792346, range=[-1.577641,0.988062], active=1
covariate 22:  type=float, missing=  1 of  10, average=0.443348, stdev=0.825129, range=[-1.105717,1.389828], active=1
covariate 23:  type=float, missing=  0 of  10, average=0.107121, stdev=1.203561, range=[-1.290930,2.480611], active=1
covariate 24:  type=float, missing=  0 of  10, average=0.351709, stdev=0.812697, range=[-0.930786,1.660803], active=1
covariate 25:  type=float, missing=  0 of  10, average=-0.461052, stdev=1.368487, range=[-2.698070,1.835334], active=1
covariate 26:  type=float, missing=  2 of  10, average=0.797347, stdev=0.959372, range=[-0.452255,2.862059], active=1
covariate 27:  type=float, missing=  1 of  10, average=-0.662933, stdev=0.965503, range=[-2.120250,1.295230], active=1
covariate 28:  type=float, missing=  1 of  10, average=-0.319962, stdev=1.043913, range=[-1.836422,1.305298], active=1
covariate 29:  type=float, missing=  0 of  10, average=-0.026957, stdev=0.686398, range=[-1.215435,1.238143], active=1
covariate 30:  type=float, missing=  1 of  10, average=0.307012, stdev=1.236897, range=[-2.847407,1.463332], active=1
covariate 31:  type=float, missing=  0 of  10, average=0.437880, stdev=1.015430, range=[-0.741779,2.522316], active=1
covariate 32:  type=float, missing=  0 of  10, average=-0.210959, stdev=0.933783, range=[-1.783125,0.978858], active=1
covariate 33:  type=float, missing=  0 of  10, average=0.320140, stdev=1.029174, range=[-1.653294,1.990748], active=1
covariate 34:  type=float, missing=  0 of  10, average=0.349479, stdev=1.093385, range=[-1.440825,2.374568], active=1
covariate 35:  type=float, missing=  0 of  10, average=-0.274449, stdev=0.550230, range=[-1.153380,0.699503], active=1
covariate 36:  type=float, missing=  0 of  10, average=-0.223884, stdev=0.888935, range=[-1.437652,1.170879], active=1
covariate 37:  type=float, missing=  1 of  10, average=-0.112056, stdev=1.094090, range=[-2.752678,1.226711], active=1
covariate 38:  type=float, missing=  0 of  10, average=-0.057120, stdev=1.096040, range=[-2.114899,1.722353], active=1
covariate 39:  type=float, missing=  1 of  10, average=0.413178, stdev=1.104038, range=[-0.989326,2.263595], active=1
covariate 40:  type=float, missing=  0 of  10, average=0.226157, stdev=1.111189, range=[-1.463533,2.100403], active=1
covariate 41:  type=float, missing=  0 of  10, average=0.320268, stdev=0.853318, range=[-0.806538,1.730049], active=1
covariate 42:  type=float, missing=  0 of  10, average=0.438684, stdev=1.164136, range=[-1.690157,2.156626], active=1
covariate 43:  type=float, missing=  1 of  10, average=0.356585, stdev=0.898097, range=[-0.800324,2.120148], active=1
covariate 44:  type=float, missing=  0 of  10, average=0.137834, stdev=0.936353, range=[-1.273939,1.906700], active=1
covariate 45:  type=float, missing=  0 of  10, average=0.153002, stdev=1.518765, range=[-2.562012,2.646299], active=1
covariate 46:  type=float, missing=  1 of  10, average=-0.163165, stdev=0.800342, range=[-1.349068,1.114252], active=1
covariate 47:  type=float, missing=  1 of  10, average=-0.226083, stdev=0.826799, range=[-1.472913,0.867529], active=1
covariate 48:  type=float, missing=  0 of  10, average=-0.232712, stdev=0.931830, range=[-2.351517,1.146977], active=1
covariate 49:  type=float, missing=  0 of  10, average=-0.239804, stdev=1.150914, range=[-1.803490,2.177109], active=1
covariate 50:  type=float, missing=  1 of  10, average=-0.084288, stdev=0.583670, range=[-1.245191,0.860647], active=1
covariate 51:  type=float, missing=  2 of  10, average=0.090226, stdev=0.621890, range=[-1.133649,0.963595], active=1
covariate 52:  type=float, missing=  0 of  10, average=0.160686, stdev=0.792140, range=[-1.653326,1.249857], active=1
covariate 53:  type=float, missing=  0 of  10, average=0.158613, stdev=0.992983, range=[-1.863025,1.837091], active=1
covariate 54:  type=float, missing=  1 of  10, average=-0.503679, stdev=0.538919, range=[-1.486793,0.318494], active=1
covariate 55:  type=float, missing=  1 of  10, average=-0.077155, stdev=0.522370, range=[-0.865347,0.976215], active=1
covariate 56:  type=float, missing=  0 of  10, average=-0.368250, stdev=0.762717, range=[-1.157847,1.563319], active=1
covariate 57:  type=float, missing=  1 of  10, average=-0.142620, stdev=0.972406, range=[-1.913484,2.096042], active=1
covariate 58:  type=float, missing=  1 of  10, average=0.343269, stdev=0.986998, range=[-1.394962,1.920243], active=1
covariate 59:  type=float, missing=  1 of  10, average=0.950115, stdev=0.718803, range=[-0.385982,1.770348], active=1
covariate 60:  type=float, missing=  1 of  10, average=0.001612, stdev=0.944643, range=[-1.240072,1.191440], active=1
